riding,zone,total_turnout_2025_pct,electors,est_doors(electors/1.9),pair_hours@25doors/hr,2h_pair_shifts_to_cover
BEY,608,55.9,5910,3111,124,63
BEY,603,58.5,4948,2604,104,53
BEY,602,58.7,5178,2725,109,55
BEY,600,59.0,4973,2617,105,53
BEY,604,63.5,5704,3002,120,61
BEY,610,66.1,5679,2989,120,60
BEY,605,66.4,5774,3039,122,61
BEY,601,68.9,5017,2641,106,53
BEY,607,70.7,5392,2838,114,57
BEY,614,71.4,4992,2627,105,53
BEY,611,71.9,5771,3037,121,61
BEY,612,73.4,5539,2915,117,59
BEY,606,73.9,5833,3070,123,62
BEY,613,75.0,5229,2752,110,56
BEY,609,75.7,5393,2838,114,57
SSW,605,56.0,6941,3653,146,74
SSW,600,57.9,6858,3609,144,73
SSW,601,58.1,6328,3331,133,67
SSW,608,58.1,6436,3387,135,68
SSW,610,58.1,6222,3275,131,66
SSW,604,58.4,7383,3886,155,78
SSW,611,58.7,7148,3762,150,76
SSW,606,59.2,5980,3147,126,63
SSW,607,62.4,6673,3512,140,71
SSW,603,62.7,6833,3596,144,72
SSW,609,64.0,6690,3521,141,71
SSW,602,65.9,6361,3348,134,67
SSW,612,75.0,6284,3307,132,67
