riding,zone,electors,street_addresses(parcel L/LE — the knockable street doors),structure_entrances(S/SE),address_points_total,elector_implied_unit_doors(electors/1.9),street_vs_implied_ratio(low = electors stacked behind few doors = towers)
BEY,610,5679,1924,115,2039,2989,0.64
BEY,611,5771,2254,52,2306,3037,0.74
BEY,612,5539,1798,158,1956,2915,0.62
BEY,609,5393,2199,249,2448,2838,0.77
BEY,614,4992,1726,203,1929,2627,0.66
BEY,605,5774,2266,53,2319,3039,0.75
BEY,602,5178,1180,50,1230,2725,0.43
BEY,603,4948,143,19,162,2604,0.05
BEY,606,5833,2705,31,2736,3070,0.88
BEY,608,5910,1613,283,1896,3111,0.52
BEY,600,4973,1251,113,1364,2617,0.48
BEY,604,5704,1746,105,1851,3002,0.58
BEY,607,5392,2065,206,2271,2838,0.73
BEY,613,5229,2048,151,2199,2752,0.74
BEY,601,5017,1837,119,1956,2641,0.7
SSW,602,6361,2271,130,2401,3348,0.68
SSW,604,7383,1516,70,1586,3886,0.39
SSW,606,5980,2337,54,2391,3147,0.74
SSW,605,6941,1444,42,1486,3653,0.4
SSW,609,6690,2162,294,2456,3521,0.61
SSW,603,6833,2281,51,2332,3596,0.63
SSW,608,6436,1803,144,1947,3387,0.53
SSW,610,6222,1461,17,1478,3275,0.45
SSW,611,7148,2163,194,2357,3762,0.57
SSW,612,6284,2271,103,2374,3307,0.69
SSW,601,6328,1572,56,1628,3331,0.47
SSW,607,6673,2401,194,2595,3512,0.68
SSW,600,6858,926,143,1069,3609,0.26
