neighbourhood,eday_turnout_2021_pct,eday_turnout_2025_pct,delta_pp,electors_2025,note
Danforth,23.9,36.8,12.9,1949,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
Old East York,30.0,40.3,10.3,1272,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
Taylor-Massey,30.9,33.9,3.0,5585,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
Danforth East York,35.4,35.1,-0.3,4686,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
Woodbine Corridor,35.6,37.6,2.0,9601,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
The Beaches,35.6,34.9,-0.7,16355,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
Woodbine-Lumsden,36.4,36.1,-0.3,5961,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
O'Connor-Parkview,38.2,36.7,-1.5,12467,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
East End-Danforth,38.2,40.0,1.8,15380,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
Victoria Village,38.2,40.9,2.7,1138,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
nan,43.5,,,,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
South Riverdale,69.9,,,,"2021 PDs joined via 2021 EC boundaries (2013 RO) — neighbourhood grain is the comparable unit, PD numbers are not"
