neighbourhood,eday_turnout_2021_pct,eday_turnout_2025_pct,delta_pp,electors_2025,note
Old East York,28.9,40.3,11.4,1272,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 1,287 = 101% of 2025's 1,272."
Danforth,31.4,36.8,5.4,1949,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 1,417 = 73% of 2025's 1,949."
Taylor-Massey,31.4,33.9,2.5,5585,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 9,558 = 171% of 2025's 5,585."
Danforth East York,32.1,35.1,3.0,4686,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 4,972 = 106% of 2025's 4,686."
Woodbine Corridor,35.6,37.6,2.0,9601,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 9,509 = 99% of 2025's 9,601."
Woodbine-Lumsden,36.3,36.1,-0.2,5961,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 5,617 = 94% of 2025's 5,961."
East End-Danforth,36.8,40.0,3.2,15380,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 16,257 = 106% of 2025's 15,380."
The Beaches,37.5,34.9,-2.6,16355,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 15,355 = 94% of 2025's 16,355."
South Riverdale,37.9,,,,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 only -- the 2023-RO riding no longer reaches it (846 electors 2021)."
O'Connor-Parkview,38.2,36.7,-1.5,12467,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 12,574 = 101% of 2025's 12,467."
Victoria Village,38.2,40.9,2.7,1138,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2021 electors 1,517 = 133% of 2025's 1,138."
Birchcliffe-Cliffside,,31.8,,553,"2021 = FED 35007 (2013 RO), 2025 = FED 35007 (2023 RO). 2021 PDs joined via 2021 EC boundaries -- neighbourhood grain is the comparable unit, PD numbers are not. E-day only, both years; merged polls: fold. 2025 only -- the 2013-RO riding did not reach this neighbourhood (553 electors 2025)."
