advance_zone,member_pds,electors,eday_votes,advance_votes,total_votes,total_turnout_pct,advance_share_pct,main_neighbourhoods
608,15,5910,1952,1350,3302,55.9,40.9,East End-Danforth (14); Taylor-Massey (1)
603,8,4948,1718,1178,2896,58.5,40.7,Taylor-Massey (12)
602,13,5178,1924,1114,3038,58.7,36.7,O'Connor-Parkview (11); Taylor-Massey (2)
600,11,4973,1861,1072,2933,59.0,36.5,O'Connor-Parkview (8); Victoria Village (3)
604,14,5704,1932,1691,3623,63.5,46.7,Taylor-Massey (7); Woodbine-Lumsden (5); East End-Danforth (2)
610,15,5679,2414,1340,3754,66.1,35.7,East End-Danforth (16)
605,13,5774,2043,1789,3832,66.4,46.7,Woodbine-Lumsden (6); Danforth East York (4); Old East York (2); Taylor-Massey (1)
601,13,5017,1937,1519,3456,68.9,44.0,O'Connor-Parkview (12); Old East York (1)
607,13,5392,2136,1678,3814,70.7,44.0,Woodbine Corridor (8); East End-Danforth (4); Danforth (1)
614,11,4992,1724,1842,3566,71.4,51.7,The Beaches (10); Birchcliffe-Cliffside (1)
611,12,5771,2175,1977,4152,71.9,47.6,Woodbine Corridor (11); The Beaches (1)
612,12,5539,1995,2073,4068,73.4,51.0,The Beaches (10); Woodbine Corridor (2)
606,12,5833,2189,2122,4311,73.9,49.2,Danforth East York (7); Woodbine-Lumsden (3); Danforth (3)
613,12,5229,1796,2128,3924,75.0,54.2,The Beaches (12)
609,13,5393,2229,1855,4084,75.7,45.4,East End-Danforth (9); The Beaches (4)
