sgc_code,geo_name,geo_level,period,metric,value,unit,source_res_id,retrieved_date
3501,"Stormont, Dundas and Glengarry UCo",CD,2024,fir_total_revenue,75293640,CAD,RES-130032,2026-07-12
3501,"Stormont, Dundas and Glengarry UCo",CD,2024,fir_own_source_revenue,71071140,CAD,RES-130032,2026-07-12
3501005,South Glengarry Tp,CSD,2024,fir_total_revenue,19030269,CAD,RES-130032,2026-07-12
3501005,South Glengarry Tp,CSD,2024,fir_own_source_revenue,17224296,CAD,RES-130032,2026-07-12
3501011,South Stormont Tp,CSD,2024,fir_total_revenue,23955983,CAD,RES-130032,2026-07-12
3501011,South Stormont Tp,CSD,2024,fir_own_source_revenue,22372203,CAD,RES-130032,2026-07-12
3501020,South Dundas Tp,CSD,2024,fir_total_revenue,18065660,CAD,RES-130032,2026-07-12
3501020,South Dundas Tp,CSD,2024,fir_own_source_revenue,16605603,CAD,RES-130032,2026-07-12
3501030,North Dundas Tp,CSD,2024,fir_total_revenue,21971501,CAD,RES-130032,2026-07-12
3501030,North Dundas Tp,CSD,2024,fir_own_source_revenue,20454889,CAD,RES-130032,2026-07-12
3501042,North Stormont Tp,CSD,2024,fir_total_revenue,12019304,CAD,RES-130032,2026-07-12
3501042,North Stormont Tp,CSD,2024,fir_own_source_revenue,10121974,CAD,RES-130032,2026-07-12
3501050,North Glengarry Tp,CSD,2024,fir_total_revenue,17966944,CAD,RES-130032,2026-07-12
3501050,North Glengarry Tp,CSD,2024,fir_own_source_revenue,16001668,CAD,RES-130032,2026-07-12
3502,Prescott and Russell UCo,CD,2024,fir_total_revenue,144947568,CAD,RES-130032,2026-07-12
3502,Prescott and Russell UCo,CD,2024,fir_own_source_revenue,79196006,CAD,RES-130032,2026-07-12
3502001,East Hawkesbury Tp,CSD,2024,fir_total_revenue,4982795,CAD,RES-130032,2026-07-12
3502001,East Hawkesbury Tp,CSD,2024,fir_own_source_revenue,4511887,CAD,RES-130032,2026-07-12
3502008,Hawkesbury T,CSD,2024,fir_total_revenue,28097377,CAD,RES-130032,2026-07-12
3502008,Hawkesbury T,CSD,2024,fir_own_source_revenue,25649207,CAD,RES-130032,2026-07-12
3502010,Champlain Tp,CSD,2024,fir_total_revenue,17796617,CAD,RES-130032,2026-07-12
3502010,Champlain Tp,CSD,2024,fir_own_source_revenue,15566223,CAD,RES-130032,2026-07-12
3502023,Alfred and Plantagenet Tp,CSD,2024,fir_total_revenue,19658422,CAD,RES-130032,2026-07-12
3502023,Alfred and Plantagenet Tp,CSD,2024,fir_own_source_revenue,18343918,CAD,RES-130032,2026-07-12
3502025,The Nation M,CSD,2024,fir_total_revenue,29296608,CAD,RES-130032,2026-07-12
3502025,The Nation M,CSD,2024,fir_own_source_revenue,28001763,CAD,RES-130032,2026-07-12
3502036,Clarence-Rockland C,CSD,2024,fir_total_revenue,61512919,CAD,RES-130032,2026-07-12
3502036,Clarence-Rockland C,CSD,2024,fir_own_source_revenue,57537952,CAD,RES-130032,2026-07-12
3502044,Casselman M,CSD,2024,fir_total_revenue,12443338,CAD,RES-130032,2026-07-12
3502044,Casselman M,CSD,2024,fir_own_source_revenue,11188485,CAD,RES-130032,2026-07-12
3502048,Russell Tp,CSD,2024,fir_total_revenue,68720669,CAD,RES-130032,2026-07-12
3502048,Russell Tp,CSD,2024,fir_own_source_revenue,66436419,CAD,RES-130032,2026-07-12
3506008,Ottawa C,CSD,2024,fir_total_revenue,5539836792,CAD,RES-130032,2026-07-12
3506008,Ottawa C,CSD,2024,fir_own_source_revenue,4390201506,CAD,RES-130032,2026-07-12
3507,Leeds and Grenville UCo,CD,2024,fir_total_revenue,148031460,CAD,RES-130032,2026-07-12
3507,Leeds and Grenville UCo,CD,2024,fir_own_source_revenue,75234754,CAD,RES-130032,2026-07-12
3507004,Edwardsburgh-Cardinal Tp,CSD,2024,fir_total_revenue,25700795,CAD,RES-130032,2026-07-12
3507004,Edwardsburgh-Cardinal Tp,CSD,2024,fir_own_source_revenue,24156699,CAD,RES-130032,2026-07-12
3507006,Augusta Tp,CSD,2024,fir_total_revenue,9037567,CAD,RES-130032,2026-07-12
3507006,Augusta Tp,CSD,2024,fir_own_source_revenue,7952845,CAD,RES-130032,2026-07-12
3507008,Prescott ST,CSD,2024,fir_total_revenue,17863803,CAD,RES-130032,2026-07-12
3507008,Prescott ST,CSD,2024,fir_own_source_revenue,13954527,CAD,RES-130032,2026-07-12
3507014,Elizabethtown-Kitley Tp,CSD,2024,fir_total_revenue,10919739,CAD,RES-130032,2026-07-12
3507014,Elizabethtown-Kitley Tp,CSD,2024,fir_own_source_revenue,10076395,CAD,RES-130032,2026-07-12
3507017,Front of Yonge Tp,CSD,2024,fir_total_revenue,3259062,CAD,RES-130032,2026-07-12
3507017,Front of Yonge Tp,CSD,2024,fir_own_source_revenue,2922656,CAD,RES-130032,2026-07-12
3507021,Leeds and the Thousand Islands Tp,CSD,2024,fir_total_revenue,18434100,CAD,RES-130032,2026-07-12
3507021,Leeds and the Thousand Islands Tp,CSD,2024,fir_own_source_revenue,16977960,CAD,RES-130032,2026-07-12
3507024,Gananoque ST,CSD,2024,fir_total_revenue,30145141,CAD,RES-130032,2026-07-12
3507024,Gananoque ST,CSD,2024,fir_own_source_revenue,25235453,CAD,RES-130032,2026-07-12
3507033,Westport V,CSD,2024,fir_total_revenue,3434274,CAD,RES-130032,2026-07-12
3507033,Westport V,CSD,2024,fir_own_source_revenue,3162316,CAD,RES-130032,2026-07-12
3507040,Rideau Lakes Tp,CSD,2024,fir_total_revenue,21028363,CAD,RES-130032,2026-07-12
3507040,Rideau Lakes Tp,CSD,2024,fir_own_source_revenue,20056713,CAD,RES-130032,2026-07-12
3507042,Athens Tp,CSD,2024,fir_total_revenue,3081572,CAD,RES-130032,2026-07-12
3507042,Athens Tp,CSD,2024,fir_own_source_revenue,2883650,CAD,RES-130032,2026-07-12
3507052,Merrickville-Wolford V,CSD,2024,fir_total_revenue,8227718,CAD,RES-130032,2026-07-12
3507052,Merrickville-Wolford V,CSD,2024,fir_own_source_revenue,7084400,CAD,RES-130032,2026-07-12
3507065,North Grenville M,CSD,2024,fir_total_revenue,37771708,CAD,RES-130032,2026-07-12
3507065,North Grenville M,CSD,2024,fir_own_source_revenue,35476148,CAD,RES-130032,2026-07-12
3509,Lanark Co,CD,2024,fir_total_revenue,117139105,CAD,RES-130032,2026-07-12
3509,Lanark Co,CD,2024,fir_own_source_revenue,59481428,CAD,RES-130032,2026-07-12
3509001,Montague Tp,CSD,2024,fir_total_revenue,6110470,CAD,RES-130032,2026-07-12
3509001,Montague Tp,CSD,2024,fir_own_source_revenue,5592049,CAD,RES-130032,2026-07-12
3509004,Smiths Falls ST,CSD,2024,fir_total_revenue,42751508,CAD,RES-130032,2026-07-12
3509004,Smiths Falls ST,CSD,2024,fir_own_source_revenue,36163930,CAD,RES-130032,2026-07-12
3509010,Drummond-North Elmsley Tp,CSD,2024,fir_total_revenue,8292208,CAD,RES-130032,2026-07-12
3509010,Drummond-North Elmsley Tp,CSD,2024,fir_own_source_revenue,7781175,CAD,RES-130032,2026-07-12
3509015,Tay Valley Tp,CSD,2024,fir_total_revenue,10137786,CAD,RES-130032,2026-07-12
3509015,Tay Valley Tp,CSD,2024,fir_own_source_revenue,9319823,CAD,RES-130032,2026-07-12
3509021,Perth T,CSD,2024,fir_total_revenue,20393822,CAD,RES-130032,2026-07-12
