municipality,sgc_code,issue_slug,resolution_date,ask_summary,addressee_institution,source_url,tier
Guelph,3523008,housing-supply-affordability,2022-11-22,"Opposed Bill 23 as introduced; asked Province to fund municipal infrastructure funding gaps the bill would create",Ministry of Municipal Affairs and Housing (Ontario),https://guelph.ca/2022/11/council-approves-citys-recommendations-in-preparation-for-changes-stemming-from-bill-109-and-bill-23/,1-search-verified
Guelph,3523008,housing-supply-affordability,2023-05-09,"Sent formal letter objecting to provincial modifications made to City's Official Plan Amendment 80",Ministry of Municipal Affairs and Housing (Ontario),https://www.cbc.ca/news/canada/kitchener-waterloo/guelph-official-plan-changes-province-letter-1.6841808,1-search-verified
Guelph,3523008,homelessness-encampments,2024-12-11,"Opposed provincial use of notwithstanding clause to override Charter challenges to encampment-removal bylaws",Province of Ontario,https://www.guelphtoday.com/local-news/council-formally-opposes-use-of-notwithstanding-clause-9940916,1-search-verified
Guelph,3523008,homelessness-encampments,2024-12-11,"Endorsed Big City Mayors' 'Solve the Crisis' campaign asking Province to appoint one minister with dedicated homelessness funding/powers",Province of Ontario,https://pub-guelph.escribemeetings.com/Meeting.aspx?Id=9b6dee88-66e5-4331-b1af-6c740728d5d8,1-search-verified
Barrie,,homelessness-encampments,2023-05-17,"Directed staff to seek provincial and federal funding for addiction treatment, outreach, shelter, and homelessness services",Province of Ontario and Government of Canada,https://www.barrie.ca/government/news-notices/media-releases/council-passes-motion-address-homeless-crisis-barrie,1-search-verified
Barrie,,housing-supply-affordability,2024,"Requested Province use Community Infrastructure and Housing Accelerator tool to expedite rezoning for a large residential development; Minister declined Jan 2025",Ministry of Municipal Affairs and Housing,https://www.orilliamatters.com/local-news/province-to-decide-zoning-for-massive-4000-home-development-8410261,1-search-verified
Oshawa,,housing-supply-affordability,2022-11-21,"Endorsed formal comments opposing Bill 23 changes to the Planning Act/Development Charges Act; submitted to the Minister of Municipal Affairs and Housing",Ministry of Municipal Affairs and Housing,https://ero.ontario.ca/public/public_uploads/2022-11/City%20of%20Oshawa%20Comments%20-%20ERO%20019-6173.pdf,1
Oshawa,,housing-supply-affordability,2026-05-25,"Authorized pursuit of Canada-Ontario Partnership to Build funding to reduce the city's residential development charges",Government of Canada and Province of Ontario,https://www.oshawa.ca/news/posts/statement-from-mayor-carter-on-the-canada-ontario-new-development-charge-reduction-program/,1-search-verified
Mississauga,,housing-supply-affordability,2023-03-01,"Endorsed housing action plan conditioning 120,000-unit target on provincial/federal transit funding and a Bill-23 revenue-loss 'keep whole' audit",Province of Ontario and Government of Canada,https://www.mississauga.ca/city-of-mississauga-news/news/mississauga-approves-action-plan-for-new-housing/,1-search-verified
Mississauga,,housing-supply-affordability,2022-11-23,"Directed staff to submit Bill 23 impact comments to Province and seek assurance city would be made whole for lost revenue",Ministry of Municipal Affairs and Housing,https://www.mississauga.ca/city-of-mississauga-news/news/cities-must-be-made-whole-city-of-mississauga-responds-to-devastating-financial-impacts-of-bill-23/,1-search-verified
Mississauga,,housing-supply-affordability,2024-02-23,"Asked Province to reconsider using 'housing starts' as the metric for infrastructure funding eligibility",Ministry of Municipal Affairs and Housing,https://www.mississauga.ca/city-of-mississauga-news/news/city-of-mississauga-calls-on-province-to-revisit-how-it-measures-cities-on-housing-progress/,1-search-verified
Mississauga,,housing-supply-affordability,2024-07-31,"Approved affordable-rental Community Improvement Plan funded via federal Housing Accelerator Fund allocation plus city reserve funds",Government of Canada / CMHC (Housing Accelerator Fund),https://thepointer.com/article/2024-08-08/mississauga-council-greenlights-44-million-plan-to-boost-affordable-housing,1-search-verified
Mississauga,,housing-supply-affordability,2026-01-28,"Endorsed provincial pre-budget submission requesting development-charge alternatives, land-transfer-tax rebates, streamlined approvals, rental/inclusionary zoning support",Government of Ontario / Ministry of Finance / Ministry of Municipal Affairs and Housing,https://www.mississauga.ca/city-of-mississauga-news/news/making-more-possible-for-mississauga-city-outlines-advocacy-priorities-ahead-2026-provincial-budget/,1-search-verified
Mississauga,,housing-supply-affordability,2026-04-29,"Approved federal pre-budget submission requesting funding to speed housing construction, including development-charge reduction support",Government of Canada,https://www.mississauga.ca/city-of-mississauga-news/news/council-recap-april-29-2026/,1-search-verified
Niagara Region,,housing-supply-affordability,2023-10-19,"Sought clarification/compensation from Province for Bill 23 revenue losses, arguing upper-tier municipalities were excluded from housing-target funding",Province of Ontario,https://www.notllocal.com/local-news/region-pushing-province-on-two-issues-7735304,1-search-verified
Niagara Region,,housing-supply-affordability,2023-10-19,"Asked Province to reverse 2022 Greenbelt boundary changes rather than merely state an intention to reverse them",Province of Ontario,https://www.notllocal.com/local-news/region-pushing-province-on-two-issues-7735304,1-search-verified
York Region,,housing-supply-affordability,2022-11-10,"Called on Province to halt Bill 23 for fuller analysis/consultation via the Housing Supply Action Plan Implementation Team",Province of Ontario,https://www.york.ca/newsroom/media-release/york-regional-council-calls-provincial-government-halt-bill-23,1-search-verified
York Region,,housing-supply-affordability,2024,"Approved multi-year development-charge deferrals on high-rise buildings alongside advocacy for federal/provincial housing funding",Province of Ontario and Government of Canada,https://www.york.ca/newsroom/media-release/regional-municipality-york-taking-action-help-address-housing-challenges,1-search-verified
