candidate_id,name,race_id,municipality,office,site,platform_words
ON-BD-ddsb-trustee-ajax-murugathasan-m,Mayoorey Murugathasan,ON-BD-ddsb-trustee-ajax,"Ajax, Town of",trustee,https://www.mayooreytrustee.com/,0
ON-ajax-council-w01-local-boodoo-s,Sadiq Boodoo,ON-ajax-council-w01-local,"Ajax, Town of",councillor,https://sadiqboodoo.ca,0
ON-ajax-council-w03-local-gaddam-s,Santosh Gaddam,ON-ajax-council-w03-local,"Ajax, Town of",councillor,https://www.santoshgaddam.ca,0
ON-ajax-mayor-crawford-m,Marilyn Crawford,ON-ajax-mayor,"Ajax, Town of",mayor,https://marilyncrawford.ca,0
ON-ajax-mayor-hinds-r,Richard Hinds,ON-ajax-mayor,"Ajax, Town of",mayor,https://hindsformayor.ca,0
ON-ashfield-colborne-wawanosh-council-at-large-ducharme-p,Peggy Ducharme,ON-ashfield-colborne-wawanosh-council-at-large,"Ashfield-Colborne-Wawanosh, Township of",councillor,https://www.peggy4acwcouncil.com/,0
ON-BD-yrdsb-trustee-aurora-whitchurch-stouffville-yu-b,Bruce Yu,ON-BD-yrdsb-trustee-aurora-whitchurch-stouffville,"Aurora, Town of",trustee,https://www.bruceyu.ca,0
ON-aurora-council-w01-morsillo-r,Rocco Morsillo,ON-aurora-council-w01,"Aurora, Town of",councillor,https://roccomorsillo.ca,776
ON-aurora-council-w03-alber-n,Nikki Alber,ON-aurora-council-w03,"Aurora, Town of",councillor,https://www.nikkialber.ca/,0
ON-aurora-council-w03-fraser-r,Robert James Fraser,ON-aurora-council-w03,"Aurora, Town of",councillor,https://robertjfraser.ca,700
ON-aurora-council-w04-moledina-s,Shaheen Moledina,ON-aurora-council-w04,"Aurora, Town of",councillor,https://shaheenmoledina.ca,0
ON-aurora-council-w05-dela-cruz-toupin-c,Charity Dela Cruz-Toupin,ON-aurora-council-w05,"Aurora, Town of",councillor,http://delacruztoupin.ca,504
ON-aurora-council-w05-thandi-h,Harbinder (Binda) Thandi,ON-aurora-council-w05,"Aurora, Town of",councillor,https://www.bindathandi.ca,561
ON-aurora-council-w05-hart-m,Milton Hart,ON-aurora-council-w05,"Aurora, Town of",councillor,https://miltonhart.com,0
ON-bancroft-mayor-pharand-m,Mark Pharand,ON-bancroft-mayor,"Bancroft, Town of",mayor,http://www.markpharand.ca,0
ON-barrie-council-w01-pauline-stevenson,Pauline Stevenson,ON-barrie-council-w01,"Barrie, City of",councillor,https://stevenson4ward1.ca,0
ON-barrie-council-w01-shaughna-ainsworth,Shaughna Ainsworth,ON-barrie-council-w01,"Barrie, City of",councillor,https://ainsworth4ward1.ca/platform,729
ON-barrie-council-w06-nigussie-nigussie,Nigussie Nigussie,ON-barrie-council-w06,"Barrie, City of",councillor,https://www.votenigussie.ca/about-3,0
ON-barrie-council-w07-gary-harvey,Gary Harvey,ON-barrie-council-w07,"Barrie, City of",councillor,http://www.garyharvey.ca,0
ON-belleville-council-w01-borthwick-l,Lori Borthwick,ON-belleville-council-w01,"Belleville, City of",councillor,https://loriborthwick.ca/,0
ON-belleville-council-w01-seu-m,Margaret Seu,ON-belleville-council-w01,"Belleville, City of",councillor,https://www.margaretseu.com,0
ON-belleville-council-w02-carr-p,Paul Carr,ON-belleville-council-w02,"Belleville, City of",councillor,https://www.paulcarr.ca,0
ON-bluewater-council-hay-west-heagle-b,Brian Heagle,ON-bluewater-council-hay-west,"Bluewater, Municipality of",councillor,https://www.voteheagle.com/,0
ON-bracebridge-council-district-mceachranmorin-c,Christian McEachran Morin,ON-bracebridge-council-district,"Bracebridge, Town of",regional_councillor,https://www.votecmm.ca,951
ON-bracebridge-council-w04-waters-c,Cindy Waters,ON-bracebridge-council-w04,"Bracebridge, Town of",councillor,https://www.cindywaters.ca,0
