candidate_id,name,race_id,municipality,office,site,platform_words
ON-BD-ddsb-trustee-ajax-baig-k,Kashif Baig,ON-BD-ddsb-trustee-ajax,"Ajax, Town of",trustee,https://kash4trustee.ca,2072
ON-BD-ddsb-trustee-ajax-murugathasan-m,Mayoorey Murugathasan,ON-BD-ddsb-trustee-ajax,"Ajax, Town of",trustee,https://www.mayooreytrustee.com/,0
ON-ajax-council-w01-local-boodoo-s,Sadiq Boodoo,ON-ajax-council-w01-local,"Ajax, Town of",councillor,https://sadiqboodoo.ca,0
ON-ajax-council-w02-local-khan-a,Azhar Khan,ON-ajax-council-w02-local,"Ajax, Town of",councillor,https://azharkhanforajax.ca,0
ON-ajax-mayor-crawford-m,Marilyn Crawford,ON-ajax-mayor,"Ajax, Town of",mayor,https://marilyncrawford.ca,0
ON-BD-yrdsb-trustee-aurora-whitchurch-stouffville-yu-b,Bruce Yu,ON-BD-yrdsb-trustee-aurora-whitchurch-stouffville,"Aurora, Town of",trustee,https://www.bruceyu.ca,0
ON-aurora-council-w01-hanna-l,Lauren Hanna,ON-aurora-council-w01,"Aurora, Town of",councillor,https://www.laurenhanna.ca,689
ON-aurora-council-w04-moledina-s,Shaheen Moledina,ON-aurora-council-w04,"Aurora, Town of",councillor,https://shaheenmoledina.ca,0
ON-aurora-council-w05-dela-cruz-toupin-c,Charity Dela Cruz-Toupin,ON-aurora-council-w05,"Aurora, Town of",councillor,http://delacruztoupin.ca,504
ON-aurora-council-w05-fraser-j,Jessie Fraser,ON-aurora-council-w05,"Aurora, Town of",councillor,http://www.aurorajessie.ca,843
ON-aurora-council-w05-hart-m,Milton Hart,ON-aurora-council-w05,"Aurora, Town of",councillor,https://miltonhart.com,0
ON-aurora-mayor-mrakas-t,Tom Mrakas,ON-aurora-mayor,"Aurora, Town of",mayor,https://mrakas.ca,3758
ON-barrie-council-w01-pauline-stevenson,Pauline Stevenson,ON-barrie-council-w01,"Barrie, City of",councillor,https://stevenson4ward1.ca,0
ON-barrie-council-w07-gary-harvey,Gary Harvey,ON-barrie-council-w07,"Barrie, City of",councillor,http://www.garyharvey.ca,0
ON-belleville-council-w01-bruce-a,Alex Bruce,ON-belleville-council-w01,"Belleville, City of",councillor,https://hello233201.wixstudio.com/alexbrucebelleville,0
ON-belleville-council-w01-borthwick-l,Lori Borthwick,ON-belleville-council-w01,"Belleville, City of",councillor,https://loriborthwick.ca/,0
ON-belleville-council-w01-seu-m,Margaret Seu,ON-belleville-council-w01,"Belleville, City of",councillor,https://www.margaretseu.com,0
ON-bracebridge-council-w04-waters-c,Cindy Waters,ON-bracebridge-council-w04,"Bracebridge, Town of",councillor,https://www.cindywaters.ca,0
ON-bradford-west-gwillimbury-council-w04-pascall-j,Jamal Pascall,ON-bradford-west-gwillimbury-council-w04,"Bradford West Gwillimbury, Town of",councillor,https://www.jamalpascall.ca,0
ON-BD-pdsb-trustee-w01-w05-green-d,David Green,ON-BD-pdsb-trustee-w01-w05,"Brampton, City of",trustee,https://www.electdavid.ca,0
ON-BD-pdsb-trustee-w07-w08-bailey-k,Karla Bailey,ON-BD-pdsb-trustee-w07-w08,"Brampton, City of",trustee,https://karlabailey.ca/home,0
ON-brampton-council-w01-w05-dutta-a,Amit Dutta,ON-brampton-council-w01-w05,"Brampton, City of",councillor,https://amitdutta.ca,0
ON-brampton-council-w03-w04-dawadidhakal-g,Gita Devi Dawadi Dhakal,ON-brampton-council-w03-w04,"Brampton, City of",councillor,https://www.electgitabrampton.ca,0
ON-brampton-council-w07-w08-power-r,Rod Power,ON-brampton-council-w07-w08,"Brampton, City of",councillor,https://www.rodpower.ca,0
ON-brampton-council-w09-w10-singh-h,Harkirat Singh,ON-brampton-council-w09-w10,"Brampton, City of",councillor,https://harkiratsingh.ca/meet-harkirat,0
ON-brampton-regional-councillor-w03-w04-medeiros-m,Martin Medeiros,ON-brampton-regional-councillor-w03-w04,"Brampton, City of",regional_councillor,https://www.brampton.ca/EN/City-Hall/Council-Office/martin-medeiros/pages/welcome.aspx,0
ON-brampton-regional-councillor-w07-w08-sharma-a,Aman Sharma,ON-brampton-regional-councillor-w07-w08,"Brampton, City of",regional_councillor,https://amansharma.net,0
ON-brant-council-w03-bell-j,John Bell,ON-brant-council-w03,"Brant, County of",councillor,https://johnbellward3.com,0
ON-brant-council-w04-craigie-c,Claudine Craigie,ON-brant-council-w04,"Brant, County of",councillor,https://www.claudinecraigie.com/,0
ON-brantford-council-w04-al-moscoe,Al Moscoe,ON-brantford-council-w04,"Brantford, City of",councillor,https://www.moscoe4council.ca,216
ON-brantford-council-w05-karleigh-csordas,Karleigh Csordas,ON-brantford-council-w05,"Brantford, City of",councillor,https://karleighcsordas.ca/lets-talk-policy-fair-taxation,2253
ON-BD-hdsb-trustee-burlington-w05-collard-a,Amy Collard,ON-BD-hdsb-trustee-burlington-w05,"Burlington, City of",trustee,https://reelectamycollard.wixsite.com/re-elect-amy-collard,565
ON-burlington-council-w03-hutton-k,Kyle Hutton,ON-burlington-council-w03,"Burlington, City of",regional_councillor,https://www.kylehutton.ca/vote,2201
ON-burlington-council-w03-brecknock-t,Tony Brecknock,ON-burlington-council-w03,"Burlington, City of",regional_councillor,https://brecknock.com,0
ON-burlington-mayor-meedward-m,Marianne Meed Ward,ON-burlington-mayor,"Burlington, City of",mayor,https://votemarianne.ca/,0
ON-BD-pdsb-trustee-caledon-sandhu-g,Gagan Sandhu,ON-BD-pdsb-trustee-caledon,"Caledon, Town of",trustee,https://gagansandhu.com,410
ON-BD-pdsb-trustee-caledon-kaur-r,Rosey Kaur,ON-BD-pdsb-trustee-caledon,"Caledon, Town of",trustee,https://www.roseykaur.com,0
ON-caledon-council-w06-napoli-c,Cosimo Napoli,ON-caledon-council-w06,"Caledon, Town of",councillor,https://napoliward6.ca,0
ON-caledon-mayor-bawa-b,Baljit Bawa,ON-caledon-mayor,"Caledon, Town of",mayor,http://www.bawa4mayor.ca,0
ON-caledon-mayor-early-c,Christina Early,ON-caledon-mayor,"Caledon, Town of",mayor,https://early4caledon.ca,0
ON-caledon-regional-councillor-w1w3-sheen-d,Dave Sheen,ON-caledon-regional-councillor-w1w3,"Caledon, Town of",regional_councillor,https://dave4caledon.com,0
ON-cambridge-council-w05-sheri-roberts,Sheri Roberts,ON-cambridge-council-w05,"Cambridge, City of",councillor,https://sroberts.ca,1470
ON-carleton-place-council-at-large-seccaspina-l,Linda Seccaspina,ON-carleton-place-council-at-large,"Carleton Place, Town of",councillor,https://lindaseccaspina.wordpress.com/2022/09/19/tea-with-linda-seccaspina-carleton-place-election-2022,610
ON-centre-wellington-council-w05-walsh-e,Elnor Walsh,ON-centre-wellington-council-w05,"Centre Wellington, Township of",councillor,https://elnorwalsh.com,0
ON-centre-wellington-mayor-wilton-b,Bronwynne Wilton,ON-centre-wellington-mayor,"Centre Wellington, Township of",mayor,https://bronwynnewilton.ca,1812
ON-centre-wellington-regional-councillor-w05-lloyd-m,Mary Lloyd,ON-centre-wellington-regional-councillor-w05,"Centre Wellington, Township of",regional_councillor,http://www.marylloyd.ca/about-mary.html,0
ON-centre-wellington-regional-councillor-w06-ballantyne-d,Diane Ballantyne,ON-centre-wellington-regional-councillor-w06,"Centre Wellington, Township of",regional_councillor,https://dianeballantyne.ca,0
