candidate_id,name,race_id,municipality,office,site,platform_words
ON-adjala-tosorontio-council-w01-G,Amanda Gervasi,ON-adjala-tosorontio-council-w01,"Adjala-Tosorontio, Township of",councillor,https://www.amandagervasi.ca/,0
ON-BD-ddsb-trustee-ajax-baig-k,Kashif Baig,ON-BD-ddsb-trustee-ajax,"Ajax, Town of",trustee,https://kash4trustee.ca,2072
ON-BD-ddsb-trustee-ajax-murugathasan-m,Mayoorey Murugathasan,ON-BD-ddsb-trustee-ajax,"Ajax, Town of",trustee,https://www.mayooreytrustee.com/,0
ON-ajax-council-w01-local-mcdonald-k,Kristy McDonald,ON-ajax-council-w01-local,"Ajax, Town of",councillor,https://kristymcdonald.ca,537
ON-ajax-council-w01-local-boodoo-s,Sadiq Boodoo,ON-ajax-council-w01-local,"Ajax, Town of",councillor,https://sadiqboodoo.ca,0
ON-ajax-council-w01-regional-morin-r,Rob Tyler Morin,ON-ajax-council-w01-regional,"Ajax, Town of",councillor,https://robtylermorin.ca,0
ON-ajax-council-w02-local-khan-a,Azhar Khan,ON-ajax-council-w02-local,"Ajax, Town of",councillor,https://azharkhanforajax.ca,0
ON-ajax-council-w02-regional-malik-m,M. Asif Malik,ON-ajax-council-w02-regional,"Ajax, Town of",councillor,https://www.asif4ajax.ca,737
ON-ajax-council-w03-local-gaddam-s,Santosh Gaddam,ON-ajax-council-w03-local,"Ajax, Town of",councillor,https://www.santoshgaddam.ca,0
ON-ajax-council-w03-regional-papas-a,Angie Papas,ON-ajax-council-w03-regional,"Ajax, Town of",councillor,https://angiepapas4ajax.ca,0
ON-ajax-council-w03-regional-ashton-s,Stephanie Ashton,ON-ajax-council-w03-regional,"Ajax, Town of",councillor,https://www.ashton4ajax.ca/,0
ON-ajax-mayor-crawford-m,Marilyn Crawford,ON-ajax-mayor,"Ajax, Town of",mayor,https://marilyncrawford.ca,0
ON-ajax-mayor-hinds-r,Richard Hinds,ON-ajax-mayor,"Ajax, Town of",mayor,https://hindsformayor.ca,0
ON-amaranth-mayor-chris-gerrits,Chris Gerrits,ON-amaranth-mayor,"Amaranth, Township of",mayor,https://chrisgerrits.ca,3773
ON-amherstburg-council-at-large-prajapati-d,Dhaval Prajapati,ON-amherstburg-council-at-large,"Amherstburg, Town of",councillor,https://dhavalprajapati.ca,1044
ON-BD-yrdsb-trustee-aurora-whitchurch-stouffville-yu-b,Bruce Yu,ON-BD-yrdsb-trustee-aurora-whitchurch-stouffville,"Aurora, Town of",trustee,https://www.bruceyu.ca,0
ON-aurora-council-w01-hanna-l,Lauren Hanna,ON-aurora-council-w01,"Aurora, Town of",councillor,https://www.laurenhanna.ca,689
ON-aurora-council-w01-morsillo-r,Rocco Morsillo,ON-aurora-council-w01,"Aurora, Town of",councillor,https://roccomorsillo.ca,776
ON-aurora-council-w02-daust-a,Angela Daust,ON-aurora-council-w02,"Aurora, Town of",councillor,https://www.angeladaustwardtwo.ca/,0
ON-aurora-council-w02-di-girolamo-m,Marco Di Girolamo,ON-aurora-council-w02,"Aurora, Town of",councillor,https://marcodigirolamo.ca,0
ON-aurora-council-w03-fraser-r,Robert James Fraser,ON-aurora-council-w03,"Aurora, Town of",councillor,https://robertjfraser.ca,700
ON-aurora-council-w04-moledina-s,Shaheen Moledina,ON-aurora-council-w04,"Aurora, Town of",councillor,https://shaheenmoledina.ca,0
ON-aurora-council-w05-dela-cruz-toupin-c,Charity Dela Cruz-Toupin,ON-aurora-council-w05,"Aurora, Town of",councillor,http://delacruztoupin.ca,504
