candidate_id,name,race_id,municipality,office,site,platform_words
ON-adjala-tosorontio-council-w01-G,Amanda Gervasi,ON-adjala-tosorontio-council-w01,"Adjala-Tosorontio, Township of",councillor,https://www.amandagervasi.ca/,0
ON-ajax-council-w03-local-gaddam-s,Santosh Gaddam,ON-ajax-council-w03-local,"Ajax, Town of",councillor,https://www.santoshgaddam.ca,0
ON-amaranth-mayor-chris-gerrits,Chris Gerrits,ON-amaranth-mayor,"Amaranth, Township of",mayor,https://chrisgerrits.ca,3773
ON-amherstburg-council-at-large-prajapati-d,Dhaval Prajapati,ON-amherstburg-council-at-large,"Amherstburg, Town of",councillor,https://dhavalprajapati.ca,1044
ON-amherstburg-mayor-cerasa-f,Frank CERASA,ON-amherstburg-mayor,"Amherstburg, Town of",mayor,https://www.votefrankcerasa.com/,309
ON-ashfield-colborne-wawanosh-council-at-large-ducharme-p,Peggy Ducharme,ON-ashfield-colborne-wawanosh-council-at-large,"Ashfield-Colborne-Wawanosh, Township of",councillor,https://www.peggy4acwcouncil.com/,0
ON-belleville-council-w02-carr-p,Paul Carr,ON-belleville-council-w02,"Belleville, City of",councillor,https://www.paulcarr.ca,0
ON-bracebridge-council-w04-waters-c,Cindy Waters,ON-bracebridge-council-w04,"Bracebridge, Town of",councillor,https://www.cindywaters.ca,0
ON-bradford-west-gwillimbury-council-w03-verkaik-b,Ben Verkaik,ON-bradford-west-gwillimbury-council-w03,"Bradford West Gwillimbury, Town of",councillor,https://benverkaik.com,0
ON-bradford-west-gwillimbury-council-w04-toor-k,Kash Toor,ON-bradford-west-gwillimbury-council-w04,"Bradford West Gwillimbury, Town of",councillor,https://votekash.ca,0
ON-bradford-west-gwillimbury-council-w05-eek-d,Darryl Eek,ON-bradford-west-gwillimbury-council-w05,"Bradford West Gwillimbury, Town of",councillor,https://darryleekward5.ca,0
ON-bradford-west-gwillimbury-council-w05-chudary-m,Munawar Chudary,ON-bradford-west-gwillimbury-council-w05,"Bradford West Gwillimbury, Town of",councillor,https://www.munawarchudary.com,1668
ON-bradford-west-gwillimbury-council-w06-fellman-b,Brent Fellman,ON-bradford-west-gwillimbury-council-w06,"Bradford West Gwillimbury, Town of",councillor,https://sites.google.com/view/brentfellman,2708
ON-bradford-west-gwillimbury-council-w06-harper-n,Nickolas Harper,ON-bradford-west-gwillimbury-council-w06,"Bradford West Gwillimbury, Town of",councillor,https://www.nickolasharper.ca,0
ON-bradford-west-gwillimbury-deputy-mayor-giordano-j,Joseph G. Giordano,ON-bradford-west-gwillimbury-deputy-mayor,"Bradford West Gwillimbury, Town of",deputy_mayor,https://www.josephgiordano.ca,0
ON-bradford-west-gwillimbury-mayor-harper-n,Nickolas Harper,ON-bradford-west-gwillimbury-mayor,"Bradford West Gwillimbury, Town of",mayor,https://www.nickolasharper.ca,0
ON-bradford-west-gwillimbury-mayor-ferragine-p,Peter Ferragine,ON-bradford-west-gwillimbury-mayor,"Bradford West Gwillimbury, Town of",mayor,https://votepeter2026.ca,1832
ON-brampton-council-w09-w10-singh-h,Harkirat Singh,ON-brampton-council-w09-w10,"Brampton, City of",councillor,https://harkiratsingh.ca/meet-harkirat,0
ON-brampton-regional-councillor-w09-w10-dhillon-g,Gurpreet Singh Dhillon,ON-brampton-regional-councillor-w09-w10,"Brampton, City of",regional_councillor,https://gurpreetsinghdhillon.com,0
ON-brant-council-w01-macalpine-j,John MacAlpine,ON-brant-council-w01,"Brant, County of",councillor,https://macalpine4brant.ca,0
ON-brant-council-w03-bell-j,John Bell,ON-brant-council-w03,"Brant, County of",councillor,https://johnbellward3.com,0
ON-brant-council-w04-craigie-c,Claudine Craigie,ON-brant-council-w04,"Brant, County of",councillor,https://www.claudinecraigie.com/,0
ON-brant-council-w04-tully-e,Elaine Tully,ON-brant-council-w04,"Brant, County of",councillor,https://electelaine.ca,0
ON-brant-council-w05-gatopoulos-m,Mike Gatopoulos,ON-brant-council-w05,"Brant, County of",councillor,https://mikegatopoulos.ca,0
ON-brant-mayor-garneaubisaillon-c,Christine Garneau Bisaillon,ON-brant-mayor,"Brant, County of",mayor,https://garneauformayor.ca/my-vision,878
ON-brant-mayor-kyle-j,Jennifer Kyle,ON-brant-mayor,"Brant, County of",mayor,https://www.jenniferkyle.ca/,0
ON-brantford-mayor-sicoli-r,Rose Sicoli,ON-brantford-mayor,"Brantford, City of",mayor,https://electrose.ca,969
ON-brock-council-w01-josephson-b,Beth Josephson,ON-brock-council-w01,"Brock, Township of",councillor,https://bethjosephson.ca,0
ON-burlington-council-w03-moore-k,Katy Moore,ON-burlington-council-w03,"Burlington, City of",regional_councillor,https://thirstformoore.ca,0
ON-burlington-council-w03-brecknock-t,Tony Brecknock,ON-burlington-council-w03,"Burlington, City of",regional_councillor,https://brecknock.com,0
ON-burlington-council-w06-bentivegna-a,Angelo Bentivegna,ON-burlington-council-w06,"Burlington, City of",regional_councillor,https://angelobentivegnaward6.ca,454
ON-burlington-council-w06-domenic-f,Frank Domenic,ON-burlington-council-w06,"Burlington, City of",regional_councillor,https://frankdomenic.ca/events,8975
ON-burlington-council-w06-adus-o,Osob Adus,ON-burlington-council-w06,"Burlington, City of",regional_councillor,https://www.osobward6.ca,442
ON-caledon-council-w02-kahlon-h,Hunar Kahlon,ON-caledon-council-w02,"Caledon, Town of",councillor,https://votehunar.ca,1996
ON-caledon-council-w03-cameron-s,Stan Cameron,ON-caledon-council-w03,"Caledon, Town of",councillor,https://stancameron.com,0
ON-caledon-council-w04-french-h,Heather French,ON-caledon-council-w04,"Caledon, Town of",councillor,https://www.french4caledon.com/,0
ON-caledon-mayor-bawa-b,Baljit Bawa,ON-caledon-mayor,"Caledon, Town of",mayor,http://www.bawa4mayor.ca,0
ON-caledon-mayor-early-c,Christina Early,ON-caledon-mayor,"Caledon, Town of",mayor,https://early4caledon.ca,0
ON-caledon-mayor-russo-m,Mario Russo,ON-caledon-mayor,"Caledon, Town of",mayor,https://mariorusso.ca,896
ON-caledon-regional-councillor-w1w3-sheen-d,Dave Sheen,ON-caledon-regional-councillor-w1w3,"Caledon, Town of",regional_councillor,https://dave4caledon.com,0
ON-cambridge-council-w01-jeff-donkersgoed,Jeff Donkersgoed,ON-cambridge-council-w01,"Cambridge, City of",councillor,https://www.jeffward1.ca,1578
ON-cambridge-council-w04-ross-earnshaw,Ross Earnshaw,ON-cambridge-council-w04,"Cambridge, City of",councillor,https://www.rossearnshaw.ca/about,0
ON-cambridge-mayor-kennedy-b,Brian KENNEDY,ON-cambridge-mayor,"Cambridge, City of",mayor,https://www.kennedyforcambridge.ca,3398
ON-carling-council-moffatt-d,Daryle Moffatt,ON-carling-council,"Carling, Township of",councillor,https://www.darylemoffatt.com,1471
ON-carling-mayor-kelly-b,Bruce Kelly,ON-carling-mayor,"Carling, Township of",mayor,https://www.brucekellyforcarling.com/,0
ON-cavan-monaghan-mayor-graham-m,Matthew Graham,ON-cavan-monaghan-mayor,"Cavan Monaghan, Township of",mayor,https://www.grahamformayor.ca/,0
ON-central-elgin-mayor-griffin-m,Morgaine Griffin,ON-central-elgin-mayor,"Central Elgin, Municipality of",mayor,https://morgainegriffin.ca,5267
