candidate_id,name,race_id,municipality,office,site,platform_words
ON-BD-ddsb-trustee-ajax-baig-k,Kashif Baig,ON-BD-ddsb-trustee-ajax,"Ajax, Town of",trustee,https://kash4trustee.ca,2072
ON-BD-ddsb-trustee-ajax-murugathasan-m,Mayoorey Murugathasan,ON-BD-ddsb-trustee-ajax,"Ajax, Town of",trustee,https://www.mayooreytrustee.com/,0
ON-ajax-council-w01-local-boodoo-s,Sadiq Boodoo,ON-ajax-council-w01-local,"Ajax, Town of",councillor,https://sadiqboodoo.ca,0
ON-ajax-council-w02-local-adaikkalam-a,Andras Adaikkalam,ON-ajax-council-w02-local,"Ajax, Town of",councillor,https://andrasforajax.ca,0
ON-ajax-council-w02-local-khan-a,Azhar Khan,ON-ajax-council-w02-local,"Ajax, Town of",councillor,https://azharkhanforajax.ca,0
ON-ajax-council-w03-local-gaddam-s,Santosh Gaddam,ON-ajax-council-w03-local,"Ajax, Town of",councillor,https://www.santoshgaddam.ca,0
ON-ajax-council-w03-regional-ashton-s,Stephanie Ashton,ON-ajax-council-w03-regional,"Ajax, Town of",councillor,https://www.ashton4ajax.ca/,0
ON-ajax-mayor-crawford-m,Marilyn Crawford,ON-ajax-mayor,"Ajax, Town of",mayor,https://marilyncrawford.ca,0
ON-ajax-mayor-hinds-r,Richard Hinds,ON-ajax-mayor,"Ajax, Town of",mayor,https://hindsformayor.ca,0
ON-amaranth-mayor-chris-gerrits,Chris Gerrits,ON-amaranth-mayor,"Amaranth, Township of",mayor,https://chrisgerrits.ca,3773
ON-arnprior-mayor-burton-e,Eric Burton,ON-arnprior-mayor,"Arnprior, Town of",mayor,https://eric.ca,0
ON-BD-yrdsb-trustee-aurora-whitchurch-stouffville-yu-b,Bruce Yu,ON-BD-yrdsb-trustee-aurora-whitchurch-stouffville,"Aurora, Town of",trustee,https://www.bruceyu.ca,0
ON-aurora-council-w01-hanna-l,Lauren Hanna,ON-aurora-council-w01,"Aurora, Town of",councillor,https://www.laurenhanna.ca,689
ON-aurora-council-w03-alber-n,Nikki Alber,ON-aurora-council-w03,"Aurora, Town of",councillor,https://www.nikkialber.ca/,0
ON-aurora-council-w05-fraser-j,Jessie Fraser,ON-aurora-council-w05,"Aurora, Town of",councillor,http://www.aurorajessie.ca,843
ON-aurora-council-w05-hart-m,Milton Hart,ON-aurora-council-w05,"Aurora, Town of",councillor,https://miltonhart.com,0
ON-aurora-mayor-gallo-j,John Gallo,ON-aurora-mayor,"Aurora, Town of",mayor,https://johngallo.ca,0
ON-barrie-council-w01-pauline-stevenson,Pauline Stevenson,ON-barrie-council-w01,"Barrie, City of",councillor,https://stevenson4ward1.ca,0
ON-barrie-council-w06-nigussie-nigussie,Nigussie Nigussie,ON-barrie-council-w06,"Barrie, City of",councillor,https://www.votenigussie.ca/about-3,0
ON-barrie-council-w07-gary-harvey,Gary Harvey,ON-barrie-council-w07,"Barrie, City of",councillor,http://www.garyharvey.ca,0
ON-belleville-council-w01-bruce-a,Alex Bruce,ON-belleville-council-w01,"Belleville, City of",councillor,https://hello233201.wixstudio.com/alexbrucebelleville,0
ON-belleville-council-w02-carr-p,Paul Carr,ON-belleville-council-w02,"Belleville, City of",councillor,https://www.paulcarr.ca,0
ON-bracebridge-council-district-mceachranmorin-c,Christian McEachran Morin,ON-bracebridge-council-district,"Bracebridge, Town of",regional_councillor,https://www.votecmm.ca,951
ON-bracebridge-council-w04-waters-c,Cindy Waters,ON-bracebridge-council-w04,"Bracebridge, Town of",councillor,https://www.cindywaters.ca,0
ON-bradford-west-gwillimbury-council-w01-bellamy-j,Jeff Bellamy,ON-bradford-west-gwillimbury-council-w01,"Bradford West Gwillimbury, Town of",councillor,https://www.jeffbellamy.ca,0
ON-bradford-west-gwillimbury-council-w02-harrison-j,Jennifer Harrison,ON-bradford-west-gwillimbury-council-w02,"Bradford West Gwillimbury, Town of",councillor,https://jenniferharrison.vote,0
ON-bradford-west-gwillimbury-council-w03-verkaik-b,Ben Verkaik,ON-bradford-west-gwillimbury-council-w03,"Bradford West Gwillimbury, Town of",councillor,https://benverkaik.com,0
ON-bradford-west-gwillimbury-council-w04-pullara-d,David Pullara,ON-bradford-west-gwillimbury-council-w04,"Bradford West Gwillimbury, Town of",councillor,https://ward4withpullara.ca,0
ON-bradford-west-gwillimbury-council-w04-pascall-j,Jamal Pascall,ON-bradford-west-gwillimbury-council-w04,"Bradford West Gwillimbury, Town of",councillor,https://www.jamalpascall.ca,0
ON-bradford-west-gwillimbury-council-w04-toor-k,Kash Toor,ON-bradford-west-gwillimbury-council-w04,"Bradford West Gwillimbury, Town of",councillor,https://votekash.ca,0
ON-bradford-west-gwillimbury-council-w05-eek-d,Darryl Eek,ON-bradford-west-gwillimbury-council-w05,"Bradford West Gwillimbury, Town of",councillor,https://darryleekward5.ca,0
ON-bradford-west-gwillimbury-council-w06-fellman-b,Brent Fellman,ON-bradford-west-gwillimbury-council-w06,"Bradford West Gwillimbury, Town of",councillor,https://sites.google.com/view/brentfellman,2708
ON-bradford-west-gwillimbury-mayor-ferragine-p,Peter Ferragine,ON-bradford-west-gwillimbury-mayor,"Bradford West Gwillimbury, Town of",mayor,https://votepeter2026.ca,1832
ON-bradford-west-gwillimbury-mayor-sandhu-r,Raj Sandhu,ON-bradford-west-gwillimbury-mayor,"Bradford West Gwillimbury, Town of",mayor,https://sandhuraj.com,382
ON-BD-pdsb-trustee-w01-w05-green-d,David Green,ON-BD-pdsb-trustee-w01-w05,"Brampton, City of",trustee,https://www.electdavid.ca,0
ON-BD-pdsb-trustee-w07-w08-bailey-k,Karla Bailey,ON-BD-pdsb-trustee-w07-w08,"Brampton, City of",trustee,https://karlabailey.ca/home,0
ON-brampton-council-w02-w06-shah-k,Keval Shah,ON-brampton-council-w02-w06,"Brampton, City of",councillor,http://wakeupbrampton.com,0
ON-brampton-council-w03-w04-dawadidhakal-g,Gita Devi Dawadi Dhakal,ON-brampton-council-w03-w04,"Brampton, City of",councillor,https://www.electgitabrampton.ca,0
ON-brampton-council-w07-w08-power-r,Rod Power,ON-brampton-council-w07-w08,"Brampton, City of",councillor,https://www.rodpower.ca,0
ON-brampton-council-w09-w10-singh-h,Harkirat Singh,ON-brampton-council-w09-w10,"Brampton, City of",councillor,https://harkiratsingh.ca/meet-harkirat,0
ON-brampton-mayor-somal-s,Sandeep Somal,ON-brampton-mayor,"Brampton, City of",mayor,https://www.sandeepsomalformayor.ca,1042
ON-brampton-mayor-patel-t,Tirth Vinodkumar Patel,ON-brampton-mayor,"Brampton, City of",mayor,https://tirthpatel.ca,1433
ON-brampton-regional-councillor-w01-w05-vicente-p,Paul Vicente,ON-brampton-regional-councillor-w01-w05,"Brampton, City of",regional_councillor,https://paulvicente.ca,1093
ON-brampton-regional-councillor-w02-w06-tandon-s,Sameer Tandon,ON-brampton-regional-councillor-w02-w06,"Brampton, City of",regional_councillor,https://www.sameerforbrampton.ca,0
ON-brampton-regional-councillor-w03-w04-medeiros-m,Martin Medeiros,ON-brampton-regional-councillor-w03-w04,"Brampton, City of",regional_councillor,https://www.brampton.ca/EN/City-Hall/Council-Office/martin-medeiros/pages/welcome.aspx,0
ON-brampton-regional-councillor-w07-w08-sharma-a,Aman Sharma,ON-brampton-regional-councillor-w07-w08,"Brampton, City of",regional_councillor,https://amansharma.net,0
