race_id,municipality,office,seats,candidates_registered
ON-BD-adsb-trustee-red-rock,"Red Rock, Township of",trustee,1,1
ON-BD-adsb-trustee-w01,"Sault Ste. Marie, City of",trustee,1,1
ON-BD-adsb-trustee-w02,"Sault Ste. Marie, City of",trustee,1,2
ON-BD-adsb-trustee-w03,"Sault Ste. Marie, City of",trustee,1,1
ON-BD-adsb-trustee-w04,"Sault Ste. Marie, City of",trustee,1,1
ON-BD-adsb-trustee-w05,"Sault Ste. Marie, City of",trustee,1,1
ON-BD-alcdsb-trustee-bancroft-area,"Carlow/Mayo, Township of",trustee,1,1
ON-BD-alcdsb-trustee-belleville,"Belleville, City of",trustee,2,2
ON-BD-alcdsb-trustee-central-north-south-frontenac,"South Frontenac, Township of",trustee,1,0
ON-BD-alcdsb-trustee-greater-napanee,"Greater Napanee, Town of",trustee,1,0
ON-BD-alcdsb-trustee-greenstone-w1,"Greenstone, Municipality of",trustee,1,0
ON-BD-alcdsb-trustee-greenstone-w2,"Greenstone, Municipality of",trustee,1,1
ON-BD-alcdsb-trustee-loyalist,"Loyalist, Township of",trustee,1,0
ON-BD-alcdsb-trustee-prince-edward,"Prince Edward, County of",trustee,1,0
ON-BD-alcdsb-trustee-quinte-west,"Quinte West, City of",trustee,1,1
ON-BD-alcdsb-trustee-red-rock,"Red Rock, Township of",trustee,1,1
ON-BD-alcdsb-trustee-stone-mills,"Stone Mills, Township of",trustee,1,0
ON-BD-amdsb-trustee-bluewater,"Bluewater, Municipality of",trustee,1,1
ON-BD-amdsb-trustee-goderich,"Goderich, Town of",trustee,1,1
ON-BD-amdsb-trustee-howick,"Howick, Township of",trustee,,1
ON-BD-amdsb-trustee-morris-turnberry,"Morris-Turnberry, Municipality of",trustee,1,2
ON-BD-amdsb-trustee-perth-east,"Perth East, Township of",trustee,1,0
ON-BD-amdsb-trustee-stratford,"Stratford, City of",trustee,1,3
ON-BD-amdsb-trustee-west-perth,"West Perth, Municipality of",trustee,2,2
ON-BD-bgcdsb-trustee-arran-elderslie,"Arran-Elderslie, Municipality of",trustee,1,1
ON-BD-bgcdsb-trustee-brockton-w3436,"Brockton, Municipality of",trustee,1,1
ON-BD-bgcdsb-trustee-kincardine,"Kincardine, Municipality of",trustee,1,1
ON-BD-bgcdsb-trustee-meaford,"Meaford, Municipality of",trustee,1,0
ON-BD-bgcdsb-trustee-owen-sound-meaford-blue-mountains,"Owen Sound, City of",trustee,1,0
ON-BD-bgcdsb-trustee-west-grey,"West Grey, Municipality of",trustee,1,1
ON-BD-bhncdsb-trustee-brant,"Brant, County of",trustee,1,4
ON-BD-bhncdsb-trustee-haldimand,Haldimand County,trustee,1,1
ON-BD-bhncdsb-trustee-norfolk,Norfolk County,trustee,1,2
