sgc_code,geo_name,geo_level,period,metric,value,unit,source_res_id,retrieved_date
3501,"Stormont, Dundas and Glengarry",CD,2001,population_estimate,115298,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2002,population_estimate,115647,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2003,population_estimate,116291,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2004,population_estimate,116393,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2005,population_estimate,115971,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2006,population_estimate,115612,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2007,population_estimate,115399,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2008,population_estimate,115342,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2009,population_estimate,115286,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2010,population_estimate,115479,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2011,population_estimate,115576,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2012,population_estimate,115872,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2013,population_estimate,115795,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2014,population_estimate,115864,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2015,population_estimate,116100,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2016,population_estimate,116436,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2017,population_estimate,116991,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2018,population_estimate,117838,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2019,population_estimate,118953,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2020,population_estimate,119951,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2021,population_estimate,121127,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2022,population_estimate,122679,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2023,population_estimate,125193,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2024,population_estimate,127336,count,RES-130031,2026-07-12
3501,"Stormont, Dundas and Glengarry",CD,2025,population_estimate,128617,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2001,population_estimate,79452,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2002,population_estimate,80313,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2003,population_estimate,81426,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2004,population_estimate,82175,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2005,population_estimate,82724,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2006,population_estimate,83146,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2007,population_estimate,83809,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2008,population_estimate,84695,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2009,population_estimate,85334,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2010,population_estimate,86706,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2011,population_estimate,87775,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2012,population_estimate,88963,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2013,population_estimate,89650,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2014,population_estimate,90344,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2015,population_estimate,90989,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2016,population_estimate,91696,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2017,population_estimate,92547,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2018,population_estimate,93775,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2019,population_estimate,95493,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2020,population_estimate,97375,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2021,population_estimate,99503,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2022,population_estimate,101844,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2023,population_estimate,103813,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2024,population_estimate,106114,count,RES-130031,2026-07-12
3502,Prescott and Russell,CD,2025,population_estimate,109142,count,RES-130031,2026-07-12
3506,Ottawa,CD,2001,population_estimate,806911,count,RES-130031,2026-07-12
3506,Ottawa,CD,2002,population_estimate,818340,count,RES-130031,2026-07-12
3506,Ottawa,CD,2003,population_estimate,827171,count,RES-130031,2026-07-12
3506,Ottawa,CD,2004,population_estimate,832697,count,RES-130031,2026-07-12
3506,Ottawa,CD,2005,population_estimate,838624,count,RES-130031,2026-07-12
3506,Ottawa,CD,2006,population_estimate,846129,count,RES-130031,2026-07-12
3506,Ottawa,CD,2007,population_estimate,855764,count,RES-130031,2026-07-12
3506,Ottawa,CD,2008,population_estimate,869259,count,RES-130031,2026-07-12
3506,Ottawa,CD,2009,population_estimate,883755,count,RES-130031,2026-07-12
3506,Ottawa,CD,2010,population_estimate,898924,count,RES-130031,2026-07-12
