sgc_code,geo_name,geo_level,period,metric,value,unit,source_res_id,retrieved_date
3520005,Toronto,CSD,2020,police_injury_collision_count,270,count,RES-130029,2026-07-12
3520005,Toronto,CSD,2020,police_fatal_collision_count,40,count,RES-130029,2026-07-12
3520005,Toronto,CSD,2021,police_injury_collision_count,270,count,RES-130029,2026-07-12
3520005,Toronto,CSD,2021,police_fatal_collision_count,58,count,RES-130029,2026-07-12
3520005,Toronto,CSD,2022,police_injury_collision_count,295,count,RES-130029,2026-07-12
3520005,Toronto,CSD,2022,police_fatal_collision_count,48,count,RES-130029,2026-07-12
3520005,Toronto,CSD,2023,police_injury_collision_count,298,count,RES-130029,2026-07-12
3520005,Toronto,CSD,2023,police_fatal_collision_count,43,count,RES-130029,2026-07-12
3506008,Ottawa,CSD,2019,police_injury_collision_count,2724,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2019,police_fatal_collision_count,25,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2020,police_injury_collision_count,1769,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2020,police_fatal_collision_count,18,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2021,police_injury_collision_count,1928,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2021,police_fatal_collision_count,23,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2022,police_injury_collision_count,2023,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2022,police_fatal_collision_count,23,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2023,police_injury_collision_count,0,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2023,police_fatal_collision_count,0,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2024,police_injury_collision_count,1254,count,RES-130030,2026-07-12
3506008,Ottawa,CSD,2024,police_fatal_collision_count,27,count,RES-130030,2026-07-12
