organization,shelter_name,address,postal_code,sectors_served,max_capacity_2017_2019,data_currency_note
COSTI Immigrant Services,COSTI Reception Centre,100 Lippincott Street,M5S 2P1,Co-ed/Families/Women,902,HISTORICAL 2017-2019 baseline only — verify current status before public use
The MUC Shelter Corporation,Sojourn House,101 Ontario Street,M5A 2V2,Co-ed/Families,300,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Salvation Army of Canada,Salvation Army - Gateway,107 Jarvis Street,M5C 2H4,Men,108,HISTORICAL 2017-2019 baseline only — verify current status before public use
Kennedy House Youth Services,Kennedy House Youth shelter,1076 Pape Avenue,M4K 3W5,Youth,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
Kennedy House Youth Services,Kennedy House Youth Shelter,1076 Pape Avenue,M4K 3W5,Youth,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
Touchstone Youth Centre,Touchstone Youth Centre,1076 Pape Avenue,M4K 3W5,Youth,0,HISTORICAL 2017-2019 baseline only — verify current status before public use
Fred Victor Centre,"Fred Victor, BUS",1161 Caledonia Road,M6A 2W9,Co-ed,60,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Birkdale Residence,1229 Ellesmere Road,M1P 4V8,Co-ed/Families/Men,560,HISTORICAL 2017-2019 baseline only — verify current status before public use
Society of St.Vincent De Paul,SVDP - Amelie House,126 Pape Avenue,M4M 2V8,Women,22,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,S2H Assessment and Referral Ctre,129 Peter St,,Co-ed/Men,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Streets To Homes,129 Peter St,M5V 1X1,Co-ed/Men,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
Homes First Society,HFS - Savard's Womens' Shelter,1322 Bloor Street West,M6H 1P2,Women,30,HISTORICAL 2017-2019 baseline only — verify current status before public use
Na-Me-Res (Native Men's Residence),Na-Me-Res,14 Vaughan Road,M6G 2N1,Men,71,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Downsview Dells,1651 Sheppard Ave West,,Men,28,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Salvation Army of Canada,Salvation Army - Hope,167 College Street,M5T-1P7,Men,0,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Birchmount Residence,1673 Kingston Road,,Men,60,HISTORICAL 2017-2019 baseline only — verify current status before public use
YWCA Toronto,YWCA - Beatrice House,177 Caledonia Rd,M6E 4S8,Families,0,HISTORICAL 2017-2019 baseline only — verify current status before public use
Toronto Community Hostel,Toronto Community Hostel,191 Spadina Road,M5R 2T9,Co-ed/Families,24,HISTORICAL 2017-2019 baseline only — verify current status before public use
Covenant House Toronto,Covenant House,20 Gerrard Street East,M5B 2P3,Youth,94,HISTORICAL 2017-2019 baseline only — verify current status before public use
YMCA of Greater Toronto,YMCA Sprott House,21 Walmer Rd.,M5R 2W7,Youth,25,HISTORICAL 2017-2019 baseline only — verify current status before public use
University Settlement,Univ Settlement House - OOTC,23 Grange Road,M5T 1C3,Co-ed,85,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Salvation Army of Canada,Dufferin Women's Shelter,248 Dufferin Street,M6K 1Z3,Women,0,HISTORICAL 2017-2019 baseline only — verify current status before public use
Eva's Initiatives,Eva's Satellite,25 Canterbury Place,M2N OE3,Youth,32,HISTORICAL 2017-2019 baseline only — verify current status before public use
The MUC Shelter Corporation,Sojourn House - Queens Drive,265 Queens Drive,M6L 3C6,Men,36,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Salvation Army of Canada,Salvation Army Islington Seniors,2671 Islington Avenue,M9V 2X6,Men/Women,28,HISTORICAL 2017-2019 baseline only — verify current status before public use
Dixon Hall,Dixon Hall - Heyworth House,2714 Danforth Avenue,M4C 1L7,Co-ed,88,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Salvation Army of Canada,Salvation Army - Evangeline Res,2808 Dundas St W,M6P 1Y5,Women,94,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Salvation Army of Canada,Salvation Army - New Hope Leslie,29 Leslie Street,M4M 3C3,Men,60,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Robertson House,291 Sherbourne Street,M5A 2R9,Families,90,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Scarborough Village Residence,3306 Kingston Road,M1M 1P8,Men,95,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Seaton House,339 George Street,M5A-2N2,Co-ed/Men,240,HISTORICAL 2017-2019 baseline only — verify current status before public use
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,3410 Bayview Avenue,M2M 3S3,Women,30,HISTORICAL 2017-2019 baseline only — verify current status before public use
YWCA Toronto,YWCA-348 Davenport,348 Davenport Rd.,M5R 1K6,Women/Youth,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
Dixon Hall,Dixon Hall - Schoolhouse,349 George Street,M5A 2N2,Men,51,HISTORICAL 2017-2019 baseline only — verify current status before public use
Homes First Society,HFS - Scarborough Shelter,3576 St. Clair Avenue East,M1K 1M2,Co-ed/Men/Women,120,HISTORICAL 2017-2019 baseline only — verify current status before public use
Eva's Initiatives,Eva's Place,360 Lesmill Road,M3B 2T5,Youth,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Fort York Residence,38 Bathrust St,,Co-ed/Men,74,HISTORICAL 2017-2019 baseline only — verify current status before public use
Fred Victor Centre,FV Women's Transition to Housing,389 Church Street,M5B 2A1,Women,37,HISTORICAL 2017-2019 baseline only — verify current status before public use
Good Shepherd Ministries,Good Shepherd Centre,412 Queen Street East,M5A 1T3,Men,70,HISTORICAL 2017-2019 baseline only — verify current status before public use
Horizon for Youth,Horizons for Youth,422 Gilbert Avenue,M6E 4X3,Youth,45,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Family Residence,4222 Kingston Road,M1E 2M6,Co-ed/Families,252,HISTORICAL 2017-2019 baseline only — verify current status before public use
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,43 Christie Street,M6G 3B1,Families/Women,76,HISTORICAL 2017-2019 baseline only — verify current status before public use
YMCA of Greater Toronto,YMCA House,485 Queen St West,M5V 2A9,Youth,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
Fife House Foundation,Fife House Transitional Program,"490 Sherbourne Street, 2nd floor",M4X 1K9,Co-ed,11,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Scott Mission Inc.,Scott Mission Men's Ministry,502 Spadina Ave.,M5S 2H1,Men,53,HISTORICAL 2017-2019 baseline only — verify current status before public use
Fred Victor Centre,FV Women's Transition to Housing,512 Jarvis St.,M4Y 2H6,Women,37,HISTORICAL 2017-2019 baseline only — verify current status before public use
St. Simon's Shelter Inc.,St. Simon's Shelter,525 Bloor Street East,M4W 1J1,Men,61,HISTORICAL 2017-2019 baseline only — verify current status before public use
Native Child & Family Services Toronto,Eagles Nest Transition House,558 Bathurst Street,M5S 2P9,Youth,12,HISTORICAL 2017-2019 baseline only — verify current status before public use
Youth Without Shelter,Youth Without Shelter,6 Warrendale Court,M9V 1P9,Youth,33,HISTORICAL 2017-2019 baseline only — verify current status before public use
Eva's Initiatives,Eva's Phoenix,60 Brant Street,M5V 3G9,Youth,50,HISTORICAL 2017-2019 baseline only — verify current status before public use
Society of St.Vincent De Paul,SVDP - Elisa House,60 Newcastle Street,M8Y 1A3,Women,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
Cornerstone Place,Cornerstone Place,616 Vaughan Road Toronto,M6C 1C2,Men,56,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,S2H Assessment and Referral Ctre,67 Adelaide Street East,,Co-ed/Men,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
City of Toronto,Women's Residence,674 Dundas St. W,M5T 1H9,Co-ed/Women,109,HISTORICAL 2017-2019 baseline only — verify current status before public use
YMCA of Greater Toronto,YMCA House,7 Vanauley Street,M5T 2V9,Youth,40,HISTORICAL 2017-2019 baseline only — verify current status before public use
Society of St.Vincent De Paul,SVDP - Mary's Home,70 Gerrard St. E.,M5B 1G6,Women,38,HISTORICAL 2017-2019 baseline only — verify current status before public use
Homes First Society,HFS - Kennedy Shelter,702 Kennedy Rd,M1K 2B5,Women,90,HISTORICAL 2017-2019 baseline only — verify current status before public use
Second Base (Scarborough) Youth Shelter,Second Base Youth Shelter,702 Kennedy Road,M1K 2B5,Youth,0,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Salvation Army of Canada,Salvation Army - Florence Booth,723 Queen Street West,M6J1E6,Women,60,HISTORICAL 2017-2019 baseline only — verify current status before public use
YouthLink,YouthLink Shelter,747 Warden Ave,M1L 4A1,Co-ed,41,HISTORICAL 2017-2019 baseline only — verify current status before public use
YWCA Toronto,YWCA - First Stop Woodlawn,80 Woodlawn Ave. East,M4T 1C1,Women/Youth,31,HISTORICAL 2017-2019 baseline only — verify current status before public use
Homes First Society,HFS - Strachan House,805A Wellington Street W,M5V 1G8,Co-ed,83,HISTORICAL 2017-2019 baseline only — verify current status before public use
Fred Victor Centre,Fred Victor Women's Hostel,86 Lombard St.,M5C 1M3,Women,42,HISTORICAL 2017-2019 baseline only — verify current status before public use
Street Haven At The Crossroads,Street Haven,87 Pembroke St,M5A 2N9,Women,46,HISTORICAL 2017-2019 baseline only — verify current status before public use
Woodgreen Red Door Family Shelter,Red Door Queen Street,875 Queen St E,M4M 1J2,Families,100,HISTORICAL 2017-2019 baseline only — verify current status before public use
WoodGreen Red Door Family Shelter,Red Door Queen Street,875 Queen St E,M4M 1J2,Families,106,HISTORICAL 2017-2019 baseline only — verify current status before public use
Turning Point Youth Services,Turning Point Youth Services,95 Wellesley St. E.,M4Y 2X9,Youth,35,HISTORICAL 2017-2019 baseline only — verify current status before public use
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,973 Lansdowne Avenue,M6H 3Z5,Men,83,HISTORICAL 2017-2019 baseline only — verify current status before public use
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Sherbourne Street,M5A 2R5,Men,290,HISTORICAL 2017-2019 baseline only — verify current status before public use
