resource_id,url,category,description,in_sources_md,sources_md_id,supporting_claims,claim_count,ingestion_batch
RES-0001,http://www.torontoshelternetwork.com/,Other (www.torontoshelternetwork.com),torontoshelternetwork.com,no,,CL-305,1,project-history
RES-0002,http://www.welllivinghouse.com/wp-content/uploads/2019/05/MK_Evaluation-Report_2019.pdf,Other (www.welllivinghouse.com),Firestone et al. 2019 Well Living House,no,,CL-046,1,project-history
RES-0003,https://abc13.com/post/increased-number-citations-written-homeless-houston-new-ordinance/18149138/,Other (abc13.com),Houston Public Media July 16 2025; ABC13; Defender Network — confirmed research pass June 30 2026,no,,CL-087,1,project-history
RES-0004,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2013.301369,Other (ajph.aphapublications.org),Hwang et al 2013 AJPH Comprehensive Assessment of Health Care Utilization,no,,CL-345,1,project-history
RES-0005,https://alphahousecalgary.com/how-we-help/outreach/,Sector nonprofit/network,Calgary HELP (formerly DOAP) Team — Alpha House Society,yes,M-005,CL-409,1,project-history
RES-0006,https://bot.com/Resources/Resource-Library/priced-out-the-high-cost-of-development-charges,Other (bot.com),"Toronto Region Board of Trade — ""Priced Out: The High Cost of Development Charges"" (December 2025)",yes,O-001,CL-412,1,project-history
RES-0007,https://bsh.ubc.ca/bill-60-and-the-ltb-backlog-misdiagnosis-misdirection-and-missed-opportunities/,Other (bsh.ubc.ca),"Balanced Supply of Housing UBC ""Bill 60 and the LTB Backlog"" March 23 2026",no,,CL-233,1,project-history
RES-0008,https://budget.ontario.ca/2023/,Government of Ontario (primary govt),Ontario Budget 2023; MMAH 2024-25 plans; Hansard May 16 2023,no,,CL-136,1,project-history
RES-0009,https://caeh.ca/cas/,Sector nonprofit/network,CAEH — What is a Coordinated Access System?,yes,N-036,CL-443,1,project-history
RES-0010,https://caeh.ca/medicine-hat-functional-zero/,Sector nonprofit/network,CAEH — Medicine Hat Functional Zero (June 2021),yes,H-001,CL-175;CL-585,2,project-history
RES-0011,https://canliiconnects.org/en/commentaries/73252,Other (canliiconnects.org),CanLII Connects commentary on Sanctuary et al v Toronto 2020 ONSC 6207,no,,CL-347,1,project-history
RES-0012,https://ccla.org/equality/ccla-reacts-to-ontario-passing-the-safer-municipalities-act/,Other (ccla.org),CCLA statement (ccla.org); legislative analysis (gowlingwlg.com); confirmed research pass June 2026,no,,CL-208,1,project-history
RES-0013,https://colab.ws/articles/10.1177/10780874251314838,Other (colab.ws),ResearchGate CoLab and Community Housing Canada publication listings confirming paper type and abstr,no,,CL-339,1,project-history
RES-0014,https://community.solutions/built-for-zero/functional-zero/,Sector nonprofit/network,Community Solutions — Built for Zero: Functional Zero Definition and 2025 Evolution,yes,H-004,CL-178;CL-461,2,project-history
RES-0015,https://cupe.ca/local/cupe-966-salvation-army-wilkinson-and-cawthra-and-peel-family-shelters,Other (cupe.ca),CUPE official local directory pages,no,,CL-348,1,project-history
RES-0016,https://cupe.on.ca/cupe-ontario-and-omw-join-amos-municipalities-calls-to-deal-with-human-and-financial-costs-of-ontarios-homelessness-crisis/,Other (cupe.on.ca),CUPE Ontario press release January 2025,no,,CL-334,1,project-history
RES-0017,https://cupelocal79.org/city-workers-request-no-board-report-prepare-for-possible-strike-action/,Sector nonprofit/network,CUPE Local 79 official statements and TorontoToday/CBC reporting Jan-March 2025,no,,CL-335,1,project-history
RES-0018,https://cupelocal79.org/worth-it/,Sector nonprofit/network,"CUPE Local 79 — ""Worth It"" Campaign Page and City of Toronto March 2025 Agreement Announcement",yes,N-037,CL-444,1,project-history
RES-0019,https://doi.org/10.1186/s12888-015-0408-z,Other (doi.org),Stergiopoulos et al. 2015; At Home/Chez Soi trial (largest Canadian housing RCT),no,,CL-223,1,project-history
RES-0020,https://doi.org/10.1186/s12889-025-23006-6,Other (doi.org),BMC Public Health systematic review and qualitative evidence synthesis DOI 10.1186/s12889-025-23006-,no,,CL-235,1,project-history
RES-0021,https://doi.org/10.1186/s12913-025-13170-1,Other (doi.org),BMC Health Services Research DOI 10.1186/s12913-025-13170-1,no,,CL-236,1,project-history
RES-0022,https://en.wikipedia.org/wiki/2026_Toronto_municipal_election,Other (en.wikipedia.org),Wikipedia 2026 Toronto municipal election; media coverage of campaign launch,no,,CL-283,1,project-history
RES-0023,https://en.wikipedia.org/wiki/Toronto_City_Council_2022%E2%80%932026,Other (en.wikipedia.org),"Wikipedia: ""November 30, 2023: Former Toronto District School Board trustee Parthi Kandavel is elect",no,,CL-276;CL-670,2,project-history
RES-0024,https://en.wikipedia.org/wiki/Value_of_life,Other (en.wikipedia.org),Policy Research Initiative 2009 update of Chestnut et al 1999 as codified in Treasury Board guidance,no,,CL-353,1,project-history
RES-0025,https://factchecktoronto.ca/2021/06/07/shelter-violence/,City of Toronto (primary govt),FactCheckToronto citing City FOI response 2021-00378 and Toronto Star Jan 23 2021,no,,CL-260;CL-765,2,project-history
RES-0026,https://factchecktoronto.ca/tag/central-intake/,City of Toronto (primary govt),FactCheckToronto analysis of FOI 2020-01799 via Osgoode Hall Environmental Justice and Sustainabilit,no,,CL-307;CL-308;CL-309,3,project-history
RES-0027,https://fairrentontario.ca/why-rent-control/,Government of Ontario (primary govt),Fair Rent Ontario advocacy organization,no,,CL-292,1,project-history
RES-0028,https://fao-on.org/en/report/estimates-2025-mccss/,Ontario FAO,"Financial Accountability Office of Ontario, Ministry of Children Community and Social Services 2025 ",no,,CL-265;CL-266,2,project-history
RES-0029,https://fao-on.org/wp-content/uploads/Housing-and-Homelessness-Programs-EN.pdf,Ontario FAO,FAO — Housing and Homelessness Programs in Ontario (2021),yes,N-025,CL-429,1,project-history
RES-0030,https://feedontario.ca/wp-content/uploads/2019/04/Feed-Ontario-Report-Social-Assistance-Changes-2019.pdf,Sector nonprofit/network,"Feed Ontario - Social Assistance Changes in Ontario (2019) - historical OW/ODSP rate report, distinct from the 2025 Hunger Report",yes,G-003,CL-127;CL-200,2,project-history
RES-0031,https://ghrc.ca/blog/ontario-minimum-wage-history/,Other (ghrc.ca),GHRC Staffing Solutions citing Ontario ESA; Peninsula Canada citing Ontario ESA,no,,CL-192,1,project-history
RES-0032,https://globalnews.ca/news/11213143/ont-toronto-refugee-lawsuit/,News (other outlet),Global News — Proposed Class Action Lawsuit on Refugee Shelter Exclusion (June 2025),yes,N-045,CL-295;CL-452,2,project-history
RES-0033,https://globalnews.ca/news/11612013/toronto-encampments-reduced/,News (other outlet),Global News November 2024; City of Toronto encampment tracking; CP24 January 2026,no,,CL-204,1,project-history
RES-0034,https://globalnews.ca/news/11937544/ontario-not-reach-housing-goal/,News (other outlet),Global News (globalnews.ca/news/11937544); CBC News housing starts reporting,no,,CL-203;CL-597,2,project-history
RES-0035,https://globalnews.ca/news/8199534/city-of-toronto-homeless-encampment-clearing-costs/,News (other outlet),Global News September 2021 citing City of Toronto official disclosure,no,,CL-354,1,project-history
RES-0036,https://greenhealthcare.ca/towards-a-safe-secure-and-sustainable-reusable-ppe-system/,Other (greenhealthcare.ca),Canadian Coalition for Green Health Care — Reusable PPE System Report (Dec 2023),yes,Q-003,CL-415,1,project-history
RES-0037,https://hart.ubc.ca/blog/hart-comments-on-ontarios-bill-23-more-homes-built-faster/,Other (hart.ubc.ca),"Housing Assessment Resource Tools (HART) UBC ""HART comments on Ontarios Bill 23"" May 2 2023",no,,CL-231,1,project-history
RES-0038,https://healthydebate.ca/2024/10/topic/hospitals-encampments-mental-illness-canada/,Other (healthydebate.ca),"Healthy Debate ""From hospitals to encampments"" October 8 2024",no,,CL-219;CL-220,2,project-history
RES-0039,https://homelesshub.ca/blog/2024/the-cost-of-inaction-healthcare-expenses-associated-with-homelessness-in-toronto/,Sector nonprofit/network,"ICES/Unity Health - Richard et al. BMC Health Services Research 2024:1074 - the SAME paper cited via two secondary summaries (CL-191, CL-449, CL-467) - corrected same-day from an initial mistaken independent-cross-validation framing",yes,F-007,CL-191;CL-449;CL-467,3,project-history
RES-0040,https://homelesshub.ca/blog/2025/eviction-prevention-pays-off-how-bc-rent-bank-saves-homes-and-government-dollars/,Sector nonprofit/network,BC Rent Bank Financial Analysis (via Homeless Hub),yes,N-041,CL-448,1,project-history
RES-0041,https://homelesshub.ca/blog/2025/yes-its-cheaper-the-financial-case-for-homelessness-prevention/,Sector nonprofit/network,Unity Health Toronto — Lucie Richard 2024 Healthcare Cost Study,yes,N-042,CL-449,1,project-history
RES-0042,https://homelesshub.ca/wp-content/uploads/2024/04/Appendix-A-Toronto.pdf,Sector nonprofit/network,Reaching Home Community Homelessness Report for Toronto 2019-2021,no,,CL-368,1,project-history
RES-0043,https://homelesshub.ca/wp-content/uploads/2025/04/Toronto-Community-Plan-2024-2028.pdf,Sector nonprofit/network,Reaching Home Toronto Community Plan 2024-2028,no,,CL-366,1,project-history
RES-0044,https://houselink.on.ca/whats-new/the-issues/,Other (houselink.on.ca),houselink.on.ca Research and Reports page,no,,CL-306,1,project-history
RES-0045,https://housing-infrastructure.canada.ca/homelessness-sans-abri/hifis-sisa/index-eng.html,Government of Canada (primary govt),Housing Infrastructure and Communities Canada official HIFIS program page,no,,CL-380;CL-671,2,project-history
RES-0046,https://housing-infrastructure.canada.ca/homelessness-sans-abri/reports-rapports/data-shelter-2023-donnees-refuge-eng.html,Government of Canada (primary govt),Housing Infrastructure and Communities Canada National Shelter Study 2023 Update,no,,CL-383,1,project-history
RES-0047,https://housing-infrastructure.canada.ca/pd-dp/seea-eees/uhei-ilihrc-eng.html,Government of Canada (primary govt),Housing Infrastructure and Communities Canada program page,no,,CL-133,1,project-history
RES-0048,https://hsd.multco.us/emergency-shelters/day-centers/,Sector nonprofit/network,Multnomah County (Portland) Day Centers,yes,M-006,CL-410,1,project-history
RES-0049,https://invisiblepeople.tv/number-of-homeless-canadians-admitted-to-correction-facilities-has-tripled-over-the-last-decade/,Other (invisiblepeople.tv),Invisible People citing John Howard Society of Canada; corroborated multiple sources,no,,CL-221,1,project-history
RES-0050,https://kmb.camh.ca/eenet/resources/what-is-housing-first,Other (kmb.camh.ca),CAMH EENet What is Housing First knowledge mobilization page written by team affiliated with origina,no,,CL-340,1,project-history
RES-0051,https://maytree.com/publications/poverty-rising-how-ontarios-strategy-failed-and-what-must-come-next/,Other (maytree.com),Maytree Foundation — Poverty Rising: How Ontario's Strategy Failed (July 2025),yes,G-004,CL-098,1,project-history
RES-0052,https://michaelparsampp.ca/ontario-opens-nine-homelessness-and-addiction-recovery-treatment-hubs/,Other (michaelparsampp.ca),Ontario government announcement April 1 2025; multiple Task E models,no,,CL-150,1,project-history
RES-0053,https://news.ontario.ca/en,Government of Ontario (primary govt),Multiple Task E models; government press releases,no,,CL-138,1,project-history
RES-0054,https://newtorontoinitiative.ca/home/the-big-picture,Other (newtorontoinitiative.ca),"New Toronto Initiative ""The Big Picture"" Sept 30 2025; City of Toronto 2024 Budget Notes backgroundf",no,,CL-225;CL-226;CL-562;CL-563,4,project-history
RES-0055,https://nlihc.org/resource/systematic-research-review-finds-benefits-housing-first-programs-us-outweigh-costs,Other (nlihc.org),NLIHC — Systematic Research Review: Housing First Benefits Outweigh Costs,yes,N-032,CL-439,1,project-history
RES-0056,https://ojs.lib.uwo.ca/index.php/ijoh/article/view/16652,Other (ojs.lib.uwo.ca),Kirwan and McLaughlin International Journal on Homelessness 2024,no,,CL-371,1,project-history
RES-0057,https://ontario.cmha.ca/bill-6/,Other (ontario.cmha.ca),CMHA Ontario,no,,CL-025,1,project-history
RES-0058,https://ontario.cmha.ca/provincial-policy/health-systems-transformation/history-of-mental-health-reform/,Other (ontario.cmha.ca),ResearchGate (Restructuring Mental Health Policy in Ontario: Deconstructing the Evolving Welfare Sta,no,,CL-218,1,project-history
RES-0059,https://ontarioliberal.ca/homelessness-is-solvable-the-homelessness-ends-with-housing-act-calls-for-decisive-action/,Other (ontarioliberal.ca),Ontario Liberal Party — Bill 28 Defeat Statement (May 2026),yes,I-003,CL-156,1,project-history
RES-0060,https://openpolicyontario.com/channeling-the-1995-welfare-cuts-even-if-we-agreed-with-them-rates-would-now-be-more-than-200-a-month-higher/,Other (openpolicyontario.com),John Stapleton / Open Policy Ontario — Ontario Social Assistance Rate History,yes,N-033,CL-440,1,project-history
RES-0061,https://pmc.ncbi.nlm.nih.gov/articles/PMC11581741/,Academic (PubMed/PMC/preprint),NYC Right-to-Counsel and Eviction Warrant Reduction (cohort study),yes,N-005,CL-422,1,project-history
