_id,location_name,address,year,year_stage,suspected_non_fatal_overdoses
1,45 The Esplanade,45 The Esplanade,2021,Q1,5
2,45 The Esplanade,45 The Esplanade,2021,Q2,14
3,45 The Esplanade,45 The Esplanade,2021,Q3,46
4,45 The Esplanade,45 The Esplanade,2021,Q4,33
5,45 The Esplanade,45 The Esplanade,2022,Q1,22
6,45 The Esplanade,45 The Esplanade,2022,Q2,14
7,45 The Esplanade,45 The Esplanade,2022,Q3,9
8,45 The Esplanade,45 The Esplanade,2022,Q4,8
9,885 Scarborough Golf Club Road,885 Scarborough Golf Club Road,2024,Q4,< 5
10,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q1,< 5
11,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q2,< 5
12,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q3,0
13,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q4,0
14,Adelaide Resource Centre for Women,67 Adelaide St E,2023,Q1,
15,Adelaide Resource Centre for Women,67 Adelaide St E,2023,Q2,
16,Adelaide Resource Centre for Women,67 Adelaide St E,2023,Q3,
17,Adelaide Resource Centre for Women,67 Adelaide St E,2023,Q4,< 5
18,Adelaide Resource Centre for Women,67 ADELAIDE ST E,2025,Q1,0
19,ADELAIDE RESOURCE CENTRE FOR WOMEN,67 ADELAIDE ST E,2025,Q2,0
20,ADELAIDE RESOURCE CENTRE FOR WOMEN,67 ADELAIDE ST E,2025,Q3,0
21,Centre for Refugee Children - Anchor House,175 LYNDHURST AVE,2025,Q1,0
22,CENTRE FOR REFUGEE CHILDREN - ANCHOR HOUSE,175 LYNDHURST AVE,2025,Q2,0
23,CENTRE FOR REFUGEE CHILDREN - ANCHOR HOUSE,175 LYNDHURST AVE,2025,Q3,0
24,CENTRE FOR REFUGEE CHILDREN - ANCHOR HOUSE,175 LYNDHURST AVE,2025,Q4,0
25,Christie Ossington - Spadina Rd,136 SPADINA RD,2025,Q1,0
26,CHRISTIE OSSINGTON - SPADINA RD,136 SPADINA RD,2025,Q4,0
27,Christie Refugee Welcome Centre,43 Christie St,2021,Q1,0
28,Christie Refugee Welcome Centre,43 Christie St,2021,Q2,< 5
29,Christie Refugee Welcome Centre,43 Christie St,2021,Q3,0
30,Christie Refugee Welcome Centre,43 Christie St,2021,Q4,0
31,Christie Refugee Welcome Centre,43 CHRISTIE ST,2025,Q1,0
32,CHRISTIE REFUGEE WELCOME CENTRE,43 CHRISTIE ST,2025,Q2,0
33,CHRISTIE REFUGEE WELCOME CENTRE,43 CHRISTIE ST,2025,Q3,0
34,CHRISTIE REFUGEE WELCOME CENTRE,43 CHRISTIE ST,2025,Q4,0
35,CHT Thrive Transitional Shelter,18 FOURTEENTH ST,2025,Q1,0
36,CHT THRIVE TRANSITIONAL SHELTER,18 FOURTEENTH ST,2025,Q2,0
37,CHT THRIVE TRANSITIONAL SHELTER,18 FOURTEENTH ST,2025,Q3,0
38,CHT THRIVE TRANSITIONAL SHELTER,18 FOURTEENTH ST,2025,Q4,0
39,CMHA-TO - CARLTON HOUSE,213 CARLTON ST,2025,Q2,0
40,CMHA-TO - CARLTON HOUSE,213 CARLTON ST,2025,Q3,0
41,CMHA-TO - CARLTON HOUSE,213 CARLTON ST,2025,Q4,0
42,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q1,
43,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q2,< 5
44,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q3,
45,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q4,
46,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q1,
47,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q2,
48,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q3,
49,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q4,< 5
50,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q1,10
51,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q2,8
52,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q3,< 5
53,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q4,0
54,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2022,Q1,0
