Name,Address,Type,Population Served,Capacity,Ward,Neighbourhood,Latitude,Longitude
Birkdale - Roycroft Motel,3137 Kingston Rd,Family,Family,VARIES,Scarborough Southwest (20),Cliffcrest,43.7279621689,-79.2286970903
Birkdale Residence,1229 Ellesmere Rd,Family,Family,160,Scarborough Centre (21),Bendale,43.7683092084,-79.2674267422
Christie Refugee Welcome Centre,43 Christie St,Family,Family,79,University-Rosedale (11),Annex,43.665171376,-79.4188547952
Christie-Ossington Men's Shelter,973 Lansdowne Ave,Single,Single Men,45,Davenport (9),Dovercourt-Wallace Emerson-Junction,43.6661838696,-79.4459119791
Cornerstone Place,833 St Clair Ave W,Single,Single Men,50,Toronto-St. Paul's (12),Wychwood,43.6801269064,-79.4317053851
Costi Reception Centre,100 Lippincott St,Single,Mixed Adult,16,University-Rosedale (11),University,43.6576659714,-79.4071660494
Covenant House,20 Gerrard St E,Single,Youth,94,Toronto Centre (13),Church-Yonge Corridor,43.6595034905,-79.3814353116
Dixon Hall - Heyworth House,2714 Danforth Ave,Single,Mixed Adult,70,Beaches-East York (19),East End-Danforth,43.6892973662,-79.2983580841
Dixon Hall - School House,349 George St,Single,Single Men,55,Toronto Centre (13),Moss Park,43.6601443968,-79.3743055916
Eva's Phoenix,11 Ordnance St,Single,Youth,50,Spadina-Fort York (10),Niagara,43.6391937077,-79.4096765959
Eva's Place,360 Lesmill Rd,Single,Youth,32,Don Valley East (16),StAndrew-Windfields,43.7633456594,-79.360953466
Eva's Place - Satellite,25 Canterbury Pl,Single,Youth,32,Willowdale (18),Willowdale West,43.772795686,-79.4147426191
Family Res - Gateway Inn,4694 Kingston Rd,Family,Family,VARIES,Scarborough-Rouge Park (25),West Hill,43.7777697229,-79.1729170945
Family Res - Lido Motel,4674 Kingston Rd,Family,Family,VARIES,Scarborough-Rouge Park (25),West Hill,43.7766441098,-79.1743639886
Family Res - Maple Leaf Motel,4540 Kingston Rd,Family,Family,VARIES,Scarborough-Rouge Park (25),West Hill,43.7723621057,-79.1861101858
Family Residence,4222 Kingston Rd,Family,Family,150,Scarborough-Guildwood (24),West Hill,43.7606776281,-79.1967407462
Fred Victor Centre - Bethlehem United,1161 Caledonia Rd,Single,Mixed Adult,60,Eglinton-Lawrence (8),Yorkdale-Glen Park,43.7156393705,-79.4669137065
Fred Victor Centre - Women's Shelter,86 Lombard St,Single,Single Women,40,Toronto Centre (13),Church-Yonge Corridor,43.6523069302,-79.3739609867
Good Shepherd Barrett House,35 Sydenham St,Single,Single Men,5,Toronto Centre (13),Regent Park,43.6566344976,-79.3623828467
Good Shepherd Centre,412 Queen St E,Single,Single Men,91,Toronto Centre (13),Regent Park,43.6564457767,-79.3627222634
Homes First Society - 3576 St. Clair Avenue East Shelter,3576 St Clair Ave E,Single,Mixed Adult,60,Scarborough Southwest (20),Kennedy Park,43.7175297688,-79.2580080849
Homes First Society - Savard's,1322 Bloor St W,Single,Single Women,30,Davenport (9),Dovercourt-Wallace Emerson-Junction,43.6584516299,-79.4432670783
Homes First Society - Strachan House,805A Wellington St W,Single,Mixed Adult,76,Spadina-Fort York (10),Niagara,43.6407295465,-79.4108674044
Horizons for Youth,422 Gilbert Ave,Single,Youth,35,Davenport (9),Caledonia-Fairbanks,43.6894358816,-79.4626090494
MUC Shelter Corp. (Sojourn House),101 Ontario St,Family,Family,126,Toronto Centre (13),Moss Park,43.6545984289,-79.3667107495
Native Child & Family Eagle's Nest Transition House,558 Bathurst St,Single,Youth,12,University-Rosedale (11),Palmerston-Little Italy,43.6584733234,-79.4088139176
Native Men's Residence,14 Vaughan Rd,Single,Single Men,63,Toronto-St. Paul's (12),Wychwood,43.6814559947,-79.4182544519
Robertson House,291 Sherbourne St,Family,Family,90,Toronto Centre (13),Moss Park,43.6606135066,-79.371478374
Sagatay,26 Vaughan Rd,Single,Single Men,22,Toronto-St. Paul's (12),Wychwood,43.6818341209,-79.4188724435
Salvation Army - Evangeline,2808 Dundas St W,Single,Single Women,90,Parkdale-High Park (4),Junction Area,43.6656649401,-79.4632046901
Salvation Army - Florence Booth,723 Queen St W,Single,Single Women,60,Spadina-Fort York (10),Niagara,43.6465257023,-79.4062799357
Salvation Army - Gateway,107 Jarvis St,Single,Single Men,108,Toronto Centre (13),Moss Park,43.6523228024,-79.3724772627
Salvation Army - Hope,167 College St,Single,Single Men,110,University-Rosedale (11),Kensington-Chinatown,43.6588998934,-79.3935817998
Salvation Army - Maxwell Meighen,135 Sherbourne St,Single,Single Men,260,Toronto Centre (13),Moss Park,43.6552434289,-79.369128843
Scott Mission,502 Spadina Ave,Single,Single Men,45,University-Rosedale (11),University,43.6586941753,-79.4008106862
Seaton House Main Site,339 George St,Single,Single Men,580,Toronto Centre (13),Moss Park,43.6599560455,-79.3742651833
Seaton House/Birchmount Residence,1673 Kingston Rd,Single,Single Men,60,Scarborough Southwest (20),Birchcliffe-Cliffside,43.6915234194,-79.2639913932
Seaton House/Downsview Dells,1651 Sheppard Ave E,Single,Single Men,28,Don Valley North (17),Henry Farm,43.774297882,-79.3493974961
Seaton House/Fort York,38 Bathurst St,Single,Single Men,74,Spadina-Fort York (10),Niagara,43.6411162964,-79.4026734906
