claim_id,short_claim,canonical_metric,value,unit,time_frame,fact_or_inference,confidence_tag,primary_source,source_url,verification_path,notes,evidence_strength,relationship_to
CL-001,2025 TSSS gross budget,Annual operating budget,$897.957M,CAD,2025,FACT,VERIFIED,Toronto Budget Committee Jan 2025,https://www.toronto.ca/city-government/budget-finances/city-budget/,Budget Committee Jan 23 2025 approved,Single largest municipal homelessness budget in Canada,,
CL-002,Homeless count October 2024,Point-in-time count,15418,persons,October 23 2024,FACT,VERIFIED,City of Toronto 2024 SNA July 2025,https://www.toronto.ca/wp-content/uploads/2025/07/9790-street-needs-assessment-report-2024.pdf,Primary URL fetched,Sixth SNA conducted; record high,,
CL-003,Chronically homeless rate,Share of shelter users chronically homeless,78,percent,2024-2025,FACT,VERIFIED,TSSS 2025 Budget Notes,https://www.toronto.ca/city-government/budget-finances/city-budget/,Budget notes filed Jan 2025,Chronic = 6+ months in last year or 4+ episodes in 3 years,,
CL-004,Annual unique shelter users,Flow metric — unique individuals using shelter system per year,21929,persons,2023,FACT,VERIFIED,Toronto Shelter System Flow Dashboard 2024,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-system-flow-data/,City open data,Exact figure; also expressed as ~22000,,
CL-005,Unused warming centre bed-nights,Bed-nights funded but unfilled (warming centres),4331,bed-nights,2023/24 winter season,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.torontoauditor.ca,AG 2025 report primary,Combined with CL-006 = 12742 total,,
CL-006,Unused winter respite bed-nights,Bed-nights funded but unavailable (winter respite sites),8411,bed-nights,2023/24 winter season,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.torontoauditor.ca,AG 2025 report primary,Part of 12742 total,,
CL-007,Central Intake unmatched callers winter,Nightly average callers turned away at peak season,174,persons/night,Winter 2023/24,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.torontoauditor.ca,AG 2025 report primary,Annual average is 202/night,,
CL-008,Warming centre cost per night,Cost per person per night at warming centres,$359,CAD,2023/24,FACT,VERIFIED,https://www.torontoauditor.ca/report/audit-of-toronto-shelter-and-support-services-warming-centres-and-winter-respite-sites-understanding-and-addressing-demand-while-improving-financial-accountability-to-stretch-dollars-furthe/,https://www.torontoauditor.ca,AG 2025 report primary,Most expensive shelter type in system,,
CL-009,Warming centre total spend,Total spend on warming centre and winter respite programs,$22.2M,CAD,2023/24,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.torontoauditor.ca,AG 2025 report primary,$12.5M flowed to third-party operators,,
CL-010,Operator surpluses unrecovered,Third-party operator surpluses not returned to City as of Oct 2024,$2.9M,CAD,2024,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.toronto.ca/legdocs/mmis/2025/au/bgrd/backgroundfile-252938.pdf,"AG 2025 report primary (main report) + Audit at a Glance companion summary footnote 1 for the recovery-progress figure, confirmed directly July 3 2026","UPDATE July 3 2026: the ~$1.5M-recovered figure IS now properly sourced - found directly in the AG's own 'Audit at a Glance' companion summary (footnote 1), a separate PDF from the main report: 'On January 8, 2025, TSSS advised us that, of the nearly $2.9 million to be recovered from the 2023/24 Winter Service Plan, TSSS had recovered $1.5 million, and, that by January 15, 2025, TSSS expected to recover the remaining $1.4 million.' $1.5M confirmed recovered as of Jan 8 2025; remaining $1.4M was TSSS's stated expectation, not independently confirmed by this library. Restored in MAIN_HMK_001 and MAIN_HMK_026 with this precision.",,
CL-011,Hotel improper charges total,Hotel charges exceeding contracted amounts (excl HST),$13.2M,CAD,2020-2021,FACT,VERIFIED,Toronto AG Hotel Operations 2022 (Beverly Romeo-Beehler),https://www.torontoauditor.ca,AG 2022 Part 2,Add HST = $14.9M; three categories documented,,
CL-012,Total hotel shelter spend 2021,City spend on hotel emergency shelter program in 2021,$320M,CAD,2021,FACT,VERIFIED,Toronto AG Hotel Operations 2022 (Beverly Romeo-Beehler),https://www.torontoauditor.ca,AG 2022 Part 2,Context for $13.2M figure,,
CL-013,Shelter staff feeling unsafe,Share of shelter staff who report feeling unsafe,36,percent,2024,FACT,VERIFIED,CAMH Shelter Safety Study 2024,https://toronto.ca/wp-content/uploads/2024/04/96b5-Shelter-Safety-Study-AODA-Final-Report-April-2024.pdf,PDF URL confirmed,Commissioned by City of Toronto,,
CL-014,Shelter violence increase 2011-2021,Percentage increase in interpersonal violence in shelters,283,percent,2011-2021,FACT,VERIFIED,CAMH Shelter Safety Study 2024,https://toronto.ca/wp-content/uploads/2024/04/96b5-Shelter-Safety-Study-AODA-Final-Report-April-2024.pdf,PDF URL confirmed,Physical assaults on staff up 424%,,
CL-015,Deaths experiencing homelessness 2021,Toronto people who died while experiencing homelessness,"223 persons (2021) -- TPH's current standing figure, an upward revision superseding the earlier 216; see CL-781 for full detail. 132 of these were shelter residents in 2021, down to 110 in 2022",persons,2021,FACT,VERIFIED,Toronto Public Health; cited in AG 2025,https://www.toronto.ca/news/toronto-public-health-releases-2022-data-for-deaths-of-people-experiencing-homelessness/,AG 2025 and TPH tracking,"132 of these were shelter residents when they died || Fable adversarial audit pass (Account B, batch 1/8), 2026-07-06: This row was stale within the ledger's own file: it stated 216 while CL-781 (verified July 4) already records 223 as TPH's current standing figure. Harmonized to 223; cross-reference CL-781 before citing either row.",,
CL-016,RGI waitlist,Households on Toronto RGI social housing waitlist,"92,965 active applications (Q3 2024)",households,2024,FACT,VERIFIED,TCHC 2024 annual data,https://www.torontohousing.ca,"TCHC public reporting | Unit corrected July 4 2026 per City quarterly reports - applications/households, not people",Waitlist closed to new applicants since 2019,,
CL-017,OW monthly rate single adult,Ontario Works benefit for single employable adult,733,CAD/month,2024-2025,FACT,VERIFIED,ISAC/ACTO November 2025 submission,https://www.acto.ca,ISAC/ACTO Joint Submission November 2025,Frozen since 2018; only province not to raise,,
CL-018,Toronto bachelor rent,Average market rent for bachelor apartment Toronto,$1456,CAD/month,2024,FACT,VERIFIED,CMHC Average Market Rent 2024,https://www.cmhc-schl.gc.ca,Referenced in City 2024 SNA,OW covers 50.3% of average rent,,
CL-019,Rent vs OW disparity 10yr,10-year increase in average 1-bedroom Toronto rent vs OW increase,57% rent vs 4% OW,percent,2014-2024,FACT,VERIFIED,City of Toronto HSCIS research (documented in staff reports),https://www.toronto.ca/legdocs/mmis/2024/ex/bgrd/backgroundfile-246468.pdf,City staff report Skedline Jan 2025,Single most powerful income-housing gap statistic,,
CL-020,COHB suspension housing exit drop,Reduction in shelter housing exits during COHB suspension April-Oct 2024,~50,percent,April-October 2024,FACT,VERIFIED,City of Toronto 2024 SNA July 2025,https://www.toronto.ca/wp-content/uploads/2025/07/9790-street-needs-assessment-report-2024.pdf,Primary URL fetched; explicit section in SNA,4344 exits in all of 2024 vs ~5500 in 2023,,
CL-021,LTB wait times,Landlord-Tenant Board hearing wait times — 2018 vs 2023,32 days (2018) → 342 days (2023),days,2018 vs 2023,FACT,VERIFIED,Tribunal Watch Ontario February 2024,https://tribunalwatch.ca/2024/ltb-statement-of-concern-the-numbers-speak-for-themselves/,Tribunal Watch primary,10-fold increase under Ford government,,
CL-022,Toronto homeless deaths 2025,Toronto people who died experiencing homelessness in 2025,59,persons,2025 (partial?),FACT,UNVERIFIED-REMOVED,Federal Housing Advocate March 3 2026,https://www.chrc-ccdp.gc.ca/resources/newsroom/two-years-after-landmark-report-renewed-action-needed-homelessness-continues,Primary URL fetched (partial year caveat),"Cited as ""recorded by the city of Toronto in 2025"" — may be partial year as of March 2026; verify against full TPH annual count || Fable adversarial audit pass (Account A, batch 1/8), 2026-07-06: Likely conflation with CL-782 (59 shelter-resident deaths, 2024, TSSS Annual Review) — this row's '59 homeless deaths in Toronto in 2025' cannot be a total-population figure: TPH's OCC-integrated dashboard runs ~300/yr (331 in 2022, 300 in 2023). Federal Housing Advocate's phrasing likely referred to the shelter-resident subset, already correctly captured at CL-782 (for 2024, not 2025). Retired; use CL-782 instead. A genuine 2025 total-population count remains unconfirmed.",,
CL-023,Ontario homeless 2025,People experiencing homelessness in Ontario in 2025,85000,persons,2025,FACT,VERIFIED,AMO January 2026,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2026/MunisUnderPressure1YearUpdateReport2026-01-13.pdf,AMO primary,"Up from ~64000 in 2023 || T-0030 registry-gap remediation, 2026-07-07: Live-fetched AMO/OMSSA/NOSDA/HelpSeeker 'Municipalities Under Pressure: One Year Later' (Jan 13, 2026): 'Nearly 85,000 Ontarians were known to be homeless in 2025, an increase of almost 8% in just one year and nearly 50% since 2021.' Note the precise figure is ~85,000, not a round number, and this document doesn't restate a 2023 baseline explicitly (it uses '~50% since 2021' instead) -- if this row's '~64,000 in 2023' comparator needs its own citation, that would need a separate check against AMO's original 2025 report.",,
CL-024,Toronto Rent Bank 2026,Toronto Rent Bank total annual budget 2026,$10.8M,CAD,2026,FACT,VERIFIED,CBC News January 14 2026 (Mayor Chow announcement),https://www.cbc.ca/news/canada/toronto/toronto-increase-rent-bank-funding-mayor-9.7044571,Primary URL fetched,Added $2.6M to reach $10.8M; helps 3000+ households,,
CL-025,Safer Municipalities Act Royal Assent,Date Safer Municipalities Act (formerly Bill 242 / Bill 6) received Royal Assent,June 5 2025,date,2025,FACT,VERIFIED,CMHA Ontario,https://ontario.cmha.ca/bill-6/,Primary URL fetched,Fines to $10K; 6 months jail; came into force same day as Royal Assent,,
CL-026,Ontario homeless 2024 (AMO/HelpSeeker),Homelessness Ontario province-wide,81515,persons,2024,FACT,VERIFIED,AMO/HelpSeeker Municipalities Under Pressure,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2026/MunisUnderPressure1YearUpdateReport2026-01-13.pdf,AMO 2026 report confirmed; distinct from 85000 (2025 AMO figure),2024 figure; 25% increase over 2022,,
CL-027,Ontario chronic homelessness nearly doubled,Ontario chronic homeless 2024,"38,739 (2025 revised from 41,512 original 2024 estimate) — approximately doubled since 2019",persons,2024,FACT,VERIFIED,"AMO/HelpSeeker 2026 (Jan 13 2026) — revised figure; original 2025 report: 41,512",https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2026/MunisUnderPressure1YearUpdateReport2026-01-13.pdf,AMO and Maytree reporting; verify exact figure against primary,Near-doubling cited by GLM-5 research,,
CL-028,Latimer 2017 exact figure (corrected - Toronto-specific),"Average annual public service cost per homeless person with mental illness, Toronto-specific (study covered 5 cities with notably different figures)",$58972,CAD 2017 dollars,2009-2013 (At Home/Chez Soi follow-up),FACT,VERIFIED,Latimer et al. 2017 CMAJ Open,https://www.cmajopen.ca/content/cmajo/5/3/E576.full.pdf,Confirmed by Perplexity June 2026 from full PDF,"Corrected June 30 2026: original entry used $53144 which is Vancouver's city-specific figure from the same study, not Toronto's. Full city breakdown: Vancouver $53144, Winnipeg $45565, Toronto $58972, Montreal $56406, Moncton $29610. Excludes medications; includes health social judicial; '$55K+' was rounded media summary. Error caught via external review verification, not the original Perplexity confirmation pass, which checked the DOI/source but not city attribution.",,
CL-029,Hwang 2009 BMJ mortality comparison,Mortality rate ratio shelter vs lowest income quintile,3.5x,ratio,11-year follow-up,FACT,VERIFIED,Hwang et al. 2009 BMJ b4036,https://www.bmj.com/content/339/bmj.b4036,Confirmed by Perplexity June 2026,Canada-wide; pools shelters + rooming houses + hotels; vs lowest income quintile NOT vs all Canadians,,
CL-030,IHAP national pool 2025-26,Federal IHAP national envelope for 2025/26,"No confirmed $400M 2025/26 envelope; real figures: $543.4M available in 2024-25 (Supplementary Estimates B), $1.1B over 3yr from 2024-25 (Budget 2024), $385M/yr single-recipient cap per grant T&Cs",CAD Millions,2024-25,FACT,VERIFY,"Government of Canada, Budget 2024; Supplementary Estimates (B) 2024-25",,Toronto alone received $261.9M in 2024 — 65% of national pool for one city,"Near-critical gap || Fable adversarial audit pass (Account A, batch 1/8), 2026-07-06: Original $400M 2025/26 figure (Kimi deep-research) could not be verified — no primary source states it. Toronto's own 2026 Budget Notes show $300M federal refugee funding in 2025, contradicting the original note's '65% of pool' math. NEEDS: exact canada.ca/Budget-2024 URL fetch before promoting to VERIFIED.",,
CL-031,IHAP Toronto 2024 actual,IHAP Toronto 2024 actual: $261.87M (33% of $796.4M TSSS 2024 operating budget),261.9,CAD Millions,2024,FACT,VERIFIED,TSSS 2024 Annual Report (toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf),https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,Upgrade from previously documented $240M 2023-24 committed; 2024 actual spend higher,City-Province-Federal tripartite,,
CL-032,Reaching Home Toronto annual,Annual Reaching Home federal allocation to Toronto post-Budget-2024,"$553.6M total, 2019-20 through 2027-28, across regionally-delivered Reaching Home streams (~$61.5M/yr average) -- including $82.7M via the Indigenous Homelessness stream specifically",CAD Millions,2024-28 average,FACT,VERIFIED,"Government of Canada, Reaching Home / Toronto collaboration release, March 2025",https://www.canada.ca/en/housing-infrastructure-communities/news/2025/03/government-of-canada-and-city-of-toronto-collaborate-to-build-more-homes-in-toronto.html,Includes $52.3M base + $62.7M Budget 2024 top-up + $25.8M UHEI divided across 4 years,"Upgrade from $58M/year estimate || Fable adversarial audit pass (Account B, batch 1/8), 2026-07-06: The previous '$82M/yr average' and '$52.3M base' were not found in any primary document. The Indigenous Homelessness stream's own $82.7M figure is the likely origin of the '$82M' confusion -- worth an explicit note anywhere both figures might appear together.",,
CL-033,RHI Phase 3 Toronto rejection rate,Share of Toronto RHI Phase 3 request that was approved,"$169.4M approved for 9 projects / 416 RGI homes (RHI Phase 3), short of City request for 1,300+ homes",CAD / homes,2023/24,FACT,VERIFY,CMHC RHI Phase 3; City of Toronto item 2023.PH8.11 (backgroundfile-240848.pdf),,$169M awarded of $591M requested — 29%; Phase 1: 38%; Phase 2: 45% — declining trend,"2348 units unfunded nationally || Fable adversarial audit pass (Account A, batch 1/8), 2026-07-06: Numerator ($169.4M/416 homes) confirmed. The $591M-requested denominator and '2,348 units unfunded' framing NOT found in the primary report — original 29%-rejection-rate claim unverified as stated, dropped. NEEDS: exact backgroundfile-240848.pdf URL fetch before promoting to VERIFIED.",,
CL-034,Encampment clearance relocation,Share of encampment residents relocating within 500m of clearance site,~60,percent,2023,UNVERIFIED-REMOVED,UNVERIFIED-REMOVED,City of Toronto 2023 Encampment Office Report,No primary source found; FOI-001 pending,60%/500m and <10% figures NOT CONFIRMED in primary City documents after audit - see the now-archived original library review (superseded by MAIN_REVIEW_001_External_Review_Prompt.md). Removed from DERIV-007. FOI pending.,FOI target: TSSS Encampment Office Annual Report 2023,,
CL-035,Encampment shelter acceptance,Share of encampment residents accepting shelter referral at clearance,"In 2023, 880 people were referred from encampments to shelter and 155 were assisted directly into permanent housing (real, sourced primitives -- replacing the unconfirmed ""<10% acceptance"" framing)",percent,2023,UNVERIFIED-REMOVED,VERIFIED,"City of Toronto, Encampment Office Report",https://www.toronto.ca/legdocs/mmis/2024/ec/bgrd/backgroundfile-245818.pdf,60%/500m and <10% figures NOT CONFIRMED in primary City documents after audit - see the now-archived original library review (superseded by MAIN_REVIEW_001_External_Review_Prompt.md). Removed from DERIV-007. FOI pending.,"Corroborates 'less visible not housed' finding from CBC Apr 2026 || Fable adversarial audit pass (Account B, batch 1/8), 2026-07-06: No primary confirmation was ever found for the original <10%-acceptance figure. Keep archived alongside CL-034 pending the FOI; these two real numbers are what the primary record actually supports.",,
CL-036,TCHC vacancy management AG date,Date of Toronto AG Opening Doors to Stable Housing audit,June 2019 (Council July 2019),date,2019,FACT,VERIFIED,Toronto Auditor General,https://www.torontoauditor.ca/report/opening-doors-to-stable-housing-an-effective-waiting-list-and-reduced-vacancy-rates-will-help-more-people-access-housing/,URL confirmed,Previously cited as '2020' — corrected to 2019 publication/July 2019 Council adoption,,
CL-037,HSCIS cost savings per site,Projected saving per HSCIS purpose-built site vs leased hotel,33.6,CAD Millions per site,over 10 years,FACT,VERIFIED,City of Toronto press release July 7 2025,https://www.toronto.ca/news/city-of-toronto-releases-findings-of-2024-street-needs-assessment-homelessness-survey/,Each new purpose-built HSCIS shelter saves $33.6M over 10 years vs hotel,,,
CL-038,Federal social housing withdrawal,Year federal government ended new social housing funding,1993/1996,year,1993-1996,FACT,VERIFIED,Prof J Davis Hulchanski University of Toronto; multiple primary sources,https://pressprogress.ca/justin-trudeau-is-blaming-conservatives-for-cuts-to-housing-those-cuts-actually-began-under-the-liberals/,No new funding from 1993; administration transferred to provinces in 1996; ended 50 years of direct federal involvement,,,
